"","photo_id","business_id","caption","label","length","stars","len_word"
"35","-5iCuNw-PWW464MpAU4Y6g","dQtAC58AB8qpiDPs3FAoWQ","truffle cheese","food",20,4,2
"36","-5z1QanoCsKb_JE2BLvd7g","V2oe1HVgNK0He9Mf3Q17AA","potato pancake sausage plate","food",41,4.5,4
"37","-6-qLotU44gABbrO0sAdRA","gOvEzwpu3KbW5aJReQzYRg","spam sushi teriyaki sauce","food",30,4,4
"38","-6UoHEqctZIwgezCp7ayhQ","6OjvwgCocqmghcnau69upA","ice cream","food",29,4.5,2
"39","-77PbqfUVnXVB0RkAnL-kA","zoDilOV7nSQ3lXIhGOSbog","elote corn cake entree dinner filling split","food",93,4.5,7
"40","-7Dg8QjvlJJJzo3vfSFkMw","zpGCFAt_MydbQN4EsXee6w","pork rind","food",10,4.5,2
"41","-7oPbYGzFHe7p33qK61Ulw","--9e1ONYQuAa-CB_Rrw7Tw","lobster","food",25,4,1
"42","-8SINvJObXXOkzirWBiupg","YBIhTjmEH3IEZW4Dr5ReRA","chicken pad thai shrimp","food",52,4.5,4
"43","-8W8q9tGaw9YtjS420L4nw","YTfXZ9tbTBJkWsDI7cMDWQ","beef chili pepper","food",20,4,3
"44","-8_gvs2oSqmCpnPOjT-bGg","T_YWS3Rp7-iu69VS5jcQPg","salmon roll","food",36,4,2
"45","-8c3Ss5skkj7f2vd354r6g","4pKPiKAX9qm8TU-bOt7Pmw","cheesecake style fresh berry","food",63,4,4
"46","-8pOzPdN6Svn_3lezjFVLg","XkvvUNCmLIvOts0OftXegw","belgian waffle topped strawberry homemade cream","food",67,3.5,6
"47","-8uoaU5WkX5AMDB9m2o_YQ","ItqPtxnayraXSlBS0EMOgg","chicken waffle","food",47,4.5,2
"48","-8xtcHtn04xONIR9_EFvkg","WZe-1SFcErsOT7gZY_x6wQ","strawberry vanilla crepe breakfast","food",36,2,4
"49","-933qge_IUCNPlemsnmJyQ","ALkOqlWODyxPg5VSp0HLrg","beef toro","food",22,4,2
"50","-9H9aMfF3VsNtgnNyctHhw","Y6ERro4P_wmneOWj07n94A","chicken wing","food",13,3,2
"51","-9JjU9gw9DDkzKCDCI1BVw","A4zKbHT1udV4gcd37HEuZQ","smoothie fresh","food",30,3,2
"52","-9NbeSJTZMwMmDj3HH8Vdw","0a2O150ytxrDjDzXNfRWkA","smoked soy grilled octopus","food",26,4,4
"53","-9_fbCaNmM_wTS53uLJ5vg","PvyUmuJtpSYbkIaMQ0Fz2A","mashed potato fruit","food",47,4.5,3
"54","-9c_KO1l4NrF7LSr6J1EcQ","2-_HV0XUYK64OylB5J4i6A","deliciou","food",59,4,1
"55","-9rHJjX_NiVYyBRVIgRHbQ","n_rEQNgsCOLNfMzGqFhn1g","pork chicken","food",49,3.5,2
"56","-9sFAUE3cssJJwr7ZACByQ","vYOtdnBm-45KQiiHj8jqaw","chicken curry cone","food",18,4,3
"57","-9sg67RUvYxpCu_3TAMQ9w","faPVqws-x-5k2CQKDNtHxw","cheese","food",24,4.5,1
"58","-AGkYA2BGiCf3ByUDWr5gg","Mksyt1TZQ-7vzCZjeuzfAg","crispy pork garlic rice coconut ginger vegetable","food",54,3,7
"59","-AHz53-dVWiGo1_a3GVHxQ","jBh399TajGcH28Zo2J1pHw","shack cheese fry beer","food",55,4,4
"60","-AWtgqbABMhgzqp-9lsJ3Q","nbQH8MXjxqsDzHRNTZ8esQ","crab","food",12,4,1
"61","-Agt58VRR3j72Zbv-bZi3w","-1UMR00eXtwaeh59pEiDjA","salad","food",10,3.5,1
"62","-AhFR7v0ruT7yJDnui3Yew","iAe3gkuK7SXVay9T5D4OFw","fried red miso raman","food",34,4,4
"63","-ArR8ynkaSoc2RhoK67Cfw","j1yBqI57HIyVP_e1N374cQ","special smoked salmon scrambled egg","food",52,4.5,5
"64","-AxBcNu7LNIoHFYH4cNbMQ","J4RcMXDGPzvxxMUcFRGLVQ","vega roll","food",14,3.5,2
"65","-B1D2CFInaELkWbUDvU3cw","IqCvkoDvvImXuzGrpeiDMA","fried","food",15,4.5,1
"66","-B585jm8G7lGBOonn4dbyw","EUdIboSNvQMFLi9pDtSzLw","fry","food",12,4,1
"67","-B_jJnbmrrS3ykk3STUKhA","mc5Ha4QyQZvU7fzr-ubhhw","corned beef tongue","food",18,4,3
"68","-BlviJftGffmXXRK2jW13Q","rPu_VpOCXTfNOmrk5XqeOg","pizza","food",19,3,1
"69","-BupVlm07cnwMGgZ-z6Qdw","sqRX-XLlhx4rs2c1TpBf8A","beef filet wasabi skewer","food",56,4.5,4
"70","-C78o-DM0d-fpu3lUtlfWA","NDs6xlZesy9xZFt2Lio6XQ","chicken wrap bowl","food",39,2,3
"71","-CGX33esfpKLbGONqNs0UA","erx8tQ0Wdc5YM0FddaKqKA","taco","food",7,4,1
"72","-CJzFCA5PBgYFP940rrN6A","8SwMaPL6AJIs1ZPSZ3NJ4w","lamb roasted salad arugula mashed potato","food",128,4,6
"73","-CMDQyS0Txb6trDdJ_VoUg","mRZCTkOgDc28VWYMvo3nVQ","guacamole deviled egg","food",22,4,3
"74","-Cn02FZnGGfIAZFMMnwKHw","Fx5haZv9PP3E7Ljp-h7B1Q","pancake bacon cheese","food",61,4,3
"75","-Cnt83FYt10bitdC25vgPg","FMLJ7orzQQwWxfgeqrvlCQ","egg bacon","food",11,3.5,2
"76","-CrMPr01iPtd_b5PAvU1CQ","5ma1OUQWy_Ds80xUiP7JPQ","burger mushroom","food",28,4.5,2
"77","-CzmafjtN77z6U7rZL_B9Q","MW20l3gVlw7NzATSOV7Qkw","house special porchettum sandwich","food",36,4,4
"78","-DPn3ELabIZrFcSYAyTiUg","K7lWdNUhCbcnEvI0NhGewg","rib","food",31,3.5,1
"79","-DrLK6aXBtPYXZl2Hz0iyA","q5I1eO_K6AHC-3B8DB9Caw","deliciou order appetizer meal perfect fried brussel","food",116,4,7
"80","-E_cTiF_mQKRq2OjLwTjqA","296PZdxSrtH08EUwCsOKMw","chocolate fruit","food",23,4.5,2
"81","-EepmNRIJmhZwHF8tOlZyA","wWuGa3OOQJro_XGe-GKBXA","strawberry cheesecake","food",21,4.5,2
"82","-F-JwNuBZTfOgyKq4ZPifg","61wUpoim2yzSMPKxg58ReQ","chicken panini pastum salad","food",39,4,4
"83","-F7DIzsSZbqGNhFiUZewRA","9KBd2YPnRxaNjZz23TUd6A","bacon maple creme ice cream","food",47,4.5,5
"84","-F8c94A2v8LtKn1bq2SlEw","wpkmz67yw3oyXc0ykIslNw","red curry chicken","food",17,4,3
"85","-FGTWJf5J5RQvgxDtAaysg","tzxpztv0pgtmluo4R2zKkw","lentil soup","food",11,4.5,2
"86","-Fc6y44myhPkpcVDWgllsQ","N7yuiiu8jhQ-Fl9Npflreg","soup dumpling","food",14,3.5,2
"87","-GG2zRlDZIM9BLJB-IOZ4Q","X91rjC4EkH_3ZGY3ciIs8Q","berry grilled cheese","food",36,4,3
"88","-GIos6fRxMsfU3HlL3yiQg","Qqu_MRaus17-4VVmzXq1_g","soup chicken pork","food",72,3.5,3
"89","-GW7og40HXk3UpgHXHiFCA","R7vcx3dFIiPE0kAbGasaug","steak chicken combo","food",23,4,3
"90","-HJn7VBRP2TdkMZIbTtjkA","s0vNtuLs1cwEqHTXKiS05w","red pancake cream chocolate crumble cheese syrup","food",94,4,7
"91","-HWj3FbdB5QtGSm3-p30fA","EnCIojgP5KTr1leaysFE3A","roasted pork arepa","food",68,4.5,3
"92","-HXGYZ7AEY716p8vrG9fWg","z4EIzLJlGd7gyje1Q_hKtw","white pizza","food",39,4,2
"93","-HnKhdSuGwbUiCo6hzxCVg","A-uZAD4zP3rRxb44WUGV5w","angu beef","food",18,4.5,2
"94","-HqYcJMyMFrSi3Iec6Yn-w","LPCFfrQow0kl7EABuM7VDA","spider roll","food",11,3.5,2
"95","-HvXD2dM1t0mrfu7t8dw3Q","OXrFWgoz533T8tMRemkiww","prosciutto arugula pizza","food",26,3.5,3
"96","-HxJReNUA8hwmc2DikOw9g","FAgh943f9dir8IqSMhETFw","fish taco","food",22,2.5,2
"97","-I2_cN2XHSZ1soajdXUReg","sCzH5JftPOVrhIMIrniodg","chicken shawarma platter","food",24,4.5,3
"98","-IKztaN6_bkTrw9IRa0CWw","1a3Pkkwb7yB_vmxgKwmqXw","beef tenderloin","food",15,4,2
"99","-IOs7UiU5JRJcsi2kOIEbw","-zuJkmIjdRahT_yHED-62g","maki crab roll dragon angel","food",61,3.5,5
"100","-IRU_bmmhM_srbcsLC2pcQ","dTU6CKCfGNBZCT0AmBbyRA","artisan grilled chicken sandwich extra meal","food",60,2,6
"101","-ITprxEKNS-6iwvFuzt9xQ","31KfCljxlb6zRS8r00lm2w","cake","food",48,4,1
"102","-Ip083gRwaZxnVYYjANW4A","LgroNa-JH5W-wpJACXuz5A","salmon teriyaki","food",16,3.5,2
"103","-J26EB1HK1EB-nJ5_Sne-w","_vZ7bHaGCjllogiZ7RH17w","spicy spanish fry chorizo","food",40,3,4
"104","-J5AZiUMv9Dj70q0456Zmg","wWuGa3OOQJro_XGe-GKBXA","aka salmon roe","food",34,4.5,3
"105","-JJ8D_WW9ZfAzL0EbArvuQ","UxWH8zRYIBgs6Q2oykvRdw","banana buttermilk pudding apricot dessert sesame ice cream","food",68,3.5,8
"106","-JV_lMvvi_9dT5qmDLpIGA","Ki8seQY5mtXc36xjoMfeDA","parmesan sandwich tomato sauce mozzarella arugula","food",75,3.5,6
"107","-JcXWLf7R26AHIbnYmNqfQ","qFo9G2zdvLbgH8whxty36g","chicken fried rice","food",18,3,3
"108","-JmAnkjTri9h-UoJOZTa9Q","JFNv5sKeKAf1ZVPnfbzpXw","edge pepperoni pizza lunch special","food",39,4,5
"109","-JyHVMskb_NSKK6bbtqk8g","5JjGTaZkHbbjBrzBODcsAQ","tempura tuna daikon ponzu wasabi oil deliciou roll","food",122,4,8
"110","-KMe4i6-yjiAd2VdZ5uRaA","6WDDksGLLehfQDIvQXzR5w","super deliciou chicken fried rice","food",34,4,5
"111","-KZeZ_4dCCoho_ooQ1BygQ","ogy9bGt9KT5apjKEZLzsTA","papaya salad grill shrimp","food",36,4,4
"112","-K_RpI9qdauYtugEhMyiiw","OBG1j517k7aZRNC1HAL0TA","ravioli potato margheritum pizza prosciutto arugula","food",116,3.5,6
"113","-KakoChOGyPLMqzrksk2Dw","ZZF5iqlKFBWJSGSZzWHMzA","bao sandwich","food",14,3.5,2
"114","-KcWnQikcWPqmRW5m0bxkA","Ff0kQjNFKdn4CLST0ypmew","spider roll aka crab","food",32,4,4
"115","-KhWAN5VeLspLtmaJl2Z7w","FUmy99Q3EZByy2GcCJlxyg","sweet spicy","food",24,4,2
"116","-KvKOHE1uyPa0MpGodnQ1A","dYDuaXVyIXMXlmeMYf2ktw","chocolate crunch ice cream black white cookie","food",59,4,7
"117","-KxW15fwrr0AQgk1JzOZCQ","RESDUcs7fIiihp38-d6_6g","style crab","food",22,4,2
"118","-KycGLU-YNoQaTjdTDU06g","CfxVkwEJk1NAqgqMSesLzA","salmon belly sashimi","food",33,3.5,3
"119","-L6JQf5Rl0GfBjtlme6S-g","LQI8R7yYXmWzWKd7wLCf2Q","breakfast","food",26,4,1
"120","-LAiBq2mY7VPR0R0G4uhLg","dn_ipqbm7_jUz5X3rDez_A","shrimp cocktail","food",15,3.5,2
"121","-LDLckzf2OJSI96g9XEuug","JccZKQS8-5Oikp0u30zZ8g","cheese","food",17,4,1
"122","-LJQ3_LXBJLrp3Cc_tFurw","bPh7M1vos_V-g8_s-eHaNA","chicken bacon special","food",51,4,3
"123","-LPtiuKXdO-TP1VT03Tgnw","FvVSy2r7_zDEhZWqLgjXNQ","sweet","food",16,4,1
"124","-LS7zWC4-5Po8AQJCbi8HQ","BJLhJdmhUxV95BHAxZluzA","vanilla milk chocolate box mini red","food",87,3.5,6
"125","-LahaC6KVmuCLY86U8dLRg","Yqgyx8SJ5SqFYc-4yH6Z1g","closeup pan fried pork bun deliciou","food",84,3.5,6
"126","-LcwrD4gQqoBtdDv15jU7Q","ja01cHy1xqUB9DQ1r1OYKQ","baked potato","food",35,4,2
"127","-LjHoNZiFaZehz8QkINBPQ","pgomg_u3H2RtEVUYUcngXQ","churro chocolate caramel condensed milk","food",43,4,5
"128","-LyN56zSIDYauk5qxF8lGQ","HK2Ki-PvnNN-YMTlX1uSVA","mix plate grilled garlic chicken","food",57,4,5
"129","-MA5EfOlzuDEy8XulT4r0w","lKom12WnYEjH5FFemK3M1Q","fresh chopped ribeye steak meat slaw","food",110,3.5,6
"130","-MCCDq25sB9gPwrLjnNRBQ","08-b4GbZxOzzo9XSJsR-tw","crab cake fried tomato breakfast","food",45,3.5,5
"131","-MWrNrRXcuyXGNOwlHKa7g","QpPA4PZ0_jo82gkzMsQpDw","buttermilk fried chicken","food",24,3,3
"132","-MkBJdJzjC-Grmc85CQs0Q","awI4hHMfa7H0Xf0-ChU5hg","half fresh","food",39,4.5,2
"133","-Mmc0kCgmpppK5_ZZpWmnA","lmxA0dJM0XsPCIHPXhEQ-g","spicy roll","food",18,4,2
"134","-MyDPQTxsq1Ljj-Y9qA2Dw","iJziJyLGEbcgTw79t5a-hw","large fried chicken","food",34,3,3
"135","-NLdz_xz4nmUGNiMmaaLaw","sOYsxYYFl03PhHmz_rBDZQ","bacon mushroom spaghetti","food",27,4,3
"136","-NOLSjmbY9wn7AqUZXnFKA","Q7m8G4579-XYKV3LMW8V7g","chef special salmon wrapped avocado","food",46,4.5,5
"137","-NOhOfJSHXLn7aIQmlLzcQ","4PqqRa7o_eNydKdGWYdIog","breakfast burrito chorizo bacon","food",40,4,4
"138","-NSipYFrqMFIpTRcQ5Tyiw","t_1myTZfYeEQ07Jr8JEF5Q","poached apple maple bread","food",35,4,4
"139","-NZMnfcL92p6hwDbqoVQlQ","arkgHRBReRqIPUP1vuPz4g","sweet corn cheese yummy cheesy portion generou","food",120,4.5,7
"140","-N_muTPHYnNYCa0C03rxNg","BgthHqiXot2s4Sd_xcI6DQ","greek salad","food",25,4,2
"141","-Nh3tRiuX4y1cN26nTHJMA","XjAb0mxgCtq96pWWJjUBAg","salmon","food",15,2.5,1
"142","-Nk7hZQsfJYcEgwHzUMcAw","5CJL_2-XwCGBmOav4mFdYg","thai style turf lobster fillet mignon","food",78,3.5,6
"143","-NwTCY4ZfTBZ2svrAnJDKQ","Cni2l-VKG_pdospJ6xliXQ","thick piece salmon","food",21,4,3
"144","-NwYCpvrLFMAFnbm1-2YLA","DYAorbxOyubUB_wtQRCdug","croissant bread pudding","food",73,4,3
"145","-NyXYvA2hE0MWo6KrwJhWw","I_a74zmgR-X03LsKISWPcg","strawberry toast topped","food",53,4.5,3
"146","-ODgvv_HlHdLIh8UKJlJTw","x8k5vFVPgZdr9mKn7N8MLQ","plate hot deliciou doughnut","food",34,4.5,4
"147","-ONxPkfCaUrK1JdkS8IXwg","LSMeZ0lITrnxaz7LGCaeUQ","pulled pork poutine","food",19,4,3
"148","-OtP-yzv-eumzVWsbsduRw","VHZPbCbIPHEkKOotdCTiow","small mango ice mochi jelly sauce","food",75,4.5,6
"149","-OxjJSF7v_dayKz3dDBq3Q","LFs5jyYdXlzi0SpAYi1eSA","steak","food",12,4,1
"150","-P21sEZS-HWMyORkYzjBcQ","CCRgGKhzxSpl38w7yhqKUw","noodle","food",15,3,1
"151","-P8Yx-gCHwLMD7avdoGueA","E62l6LwZJ7lKaExcUbrtYw","spicy seared albacore","food",21,4,3
"152","-PZU4JdXcooArS_DrwKGkA","UTXNr62dGSK-tet8OeXUcQ","shrimp pastor taco order meal spicy rice bean","food",111,4,8
"153","-P_0RauwOWSHTykykIe7Wg","5exz18duMXvg91ZPdNX3eA","piece mixed fry","food",32,4,3
"154","-PcyfxGc2UNt_iTWdCegyA","wSwRG4rrcZmA5zF5ZO_GEw","fresh rice","food",30,3,2
"155","-Q64xFHPppWMT_btTzqoXQ","Fe699lNnpiZIGjgmuQahXA","bowl","food",37,3,1
"156","-QHf_nF9dG8icgyPXhHU3g","Cy8XYYDrZ5wd3Bq-toXMsg","grilled","food",11,4.5,1
"157","-QVJI75_Z2cj3odbJcvypg","faPVqws-x-5k2CQKDNtHxw","macaroni cheese pastum crispy herb crust","food",77,4.5,6
"158","-QcG2OVuL8yZTdE-6Dcogw","UYh1N1xQhOh-a7nX92xPzQ","complimentary bread butter","food",28,4,3
"159","-QmCl4sZzIFW5Fhoj9shPg","tMdgY7Ou4k3bYZZulJCiuQ","chocolate banana zucchini muffin","food",36,4.5,4
"160","-Qo0mU0Xaca-5zNMK_JWOQ","hAKz92Nyvyh05qIE6wpWHg","sandwich","food",22,2,1
"161","-R1uqmMQm_3UO9JPRCxmEg","He_4k_w_8bjWnoepahS2zw","strawberry honey toast ice cream","food",38,3,5
"162","-R5PyWqDmxiFzASC_Z9dFQ","N93EYZy9R0sdlEvubu94ig","kimchi fry pork belly banh kalbi taco","food",49,4.5,7
"163","-R5ntOU7Qd_xAUklr-4tPQ","xnVkYE3iMp_aZniiCIuD0g","egg breakfast sandwich","food",22,4.5,3
"164","-RG8Ypy0kxNeSCSUcyUwSA","X91rjC4EkH_3ZGY3ciIs8Q","thai tea cake","food",13,4,3
"165","-RJCVL9G-iZlFonyX4Aftw","siuAD-vFRYAjozc332wq3g","salad","food",5,4.5,1
"166","-RUD4Nx-Zbg7U20LZy_gVg","0a2O150ytxrDjDzXNfRWkA","soft crab roll","food",71,4,3
"167","-Rb5v_PrubPgCHjgvX2seQ","fPqBLFsHNzCysVSj6KGgUw","burger","food",14,4,1
"168","-S1MTgOc0Gcv46WImSl-ag","iHeP8OmTwcqYeyMuEpIaxw","big order sandwich pick","food",72,4.5,4
"169","-SNx8PJGiIs8Ng4OHjjETQ","o9K4XEDK16T7LDYrKgstxA","burger","food",6,4,1
"170","-Sdcku3ryVHHSmylW5gh9w","5kAQKtMwMMoPQ7f5BawVFw","chocolate brownie hazelnut crunch","food",65,4,4
"171","-SdeLlwBQNBlUgbmt3IH7w","OKZkEXzJt0XIamHRRTX-8g","lobster tail","food",14,3,2
"172","-SgsQQW3k8JHQGO67LlUOQ","ea2Ff57FoUrTJLDV7O8tyA","chicken egg roll","food",17,2,3
"173","-TEzJlajQGJaTy87KD1WNQ","CRLvROAjgX-aKI7VIfPLFg","platter rice pudding","food",32,4,3
"174","-TR9fHecz_DosPdXGcEh2g","m7v-K-BARyZu6lePJw8u6g","chocolate parfait","food",27,3.5,2
"175","-ThD7S3ebwYQiFb8kp91fA","bFLEbPKUXmeQcBciGdHjww","samosa burger","food",15,4.5,2
"176","-Tl25WZh2o8CqAdZ8yQZ0Q","cPaXllVOblQn3kHQ8olDsw","pad shrimp","food",26,3.5,2
"177","-TmnPspOI5kMhHVcTKtNkg","dM8Yp8StA1NdusK5Ta_j-g","apple maple bacon pistachio cupcake buttercream sweet","food",124,4.5,7
"178","-Tqva1Gn6gmtzyVCsozlNA","uuGlYAIvYAX1q1KhpY6dtA","side cheese cream corn mushroom","food",59,4,5
"179","-Tu48oqf-w_vHMLpJPxZ6A","QOlpCzJnVdcnxAmuIwdtEQ","pork rib pulled brisket","food",36,4.5,4
"180","-UXNBPD7rf7_5ze8Jl4A1w","a4L-Fy0agN3RNM7O49bIHA","texa steak mushroom","food",44,4.5,3
"181","-UZyKU9pRGgpZLKEAA-KoQ","ERZua_xpyvHBnChITstpFg","breakfast sandwich","food",18,3.5,2
"182","-Ucr8dVMPyZ4ETNa3WrlTg","mRubgo8WfjraJkE5Bvbf6w","chicken","food",16,3.5,1
"183","-Uk4iNWK9WtkDfshXvty5Q","oFHvr1cAktvU-bQgrl4aPw","quesadilla special","food",18,4,2
"184","-V5Rz-XjZLpoLJblGpCEmg","ssyjN-SqT2O8jlC8IvrH-w","tiramisu cake","food",25,4,2
"185","-V8tBv0RrK-da2Oz3CnfXw","WETHRoXB2IbixndSlOktJA","bread breakfast pizza dough cheese","food",60,4,5
"186","-VLOzOlzhSYYqvYkO47tKw","cGGdnQ5IzkvUWYCdlrNCNw","classic shrimp alfredo","food",31,3,3
"187","-VNCgL6VENriObZMsQ1dsQ","j0aiaJkrU-5VgbCsdx-txg","crispy fried chicken","food",20,4.5,3
"188","-VkJB5skq_yDMh-QtU69mg","NMO1hExBvamoZ9RKEVNcYg","blue burger happy","food",31,3,3
"189","-WACrtoa2RXJGiaKJHWvyQ","G4PqbK9aigbAynfrjs38Tw","banana chocolate hazlenut crepe breakfast","food",41,3,5
"190","-_mAyzcRRuA-H6eOSfy17A","OBvPj3NiXxt47fjsQ0edsQ","chicken steak quesadilla","food",24,3,3
"191","-a8iyXUg8z5sdU7kO5fxSQ","s_LitDugc1df67V-_prD6Q","strawberry ice cream dessert","food",48,2.5,4
"192","-aECxfcQuuIhJNvxP0GvYg","szhJLmdLDVFTevm8fu0T4A","shrimp dumpling pork rib bbq bun","food",66,3.5,6
"193","-aLZQ2OCBWMk3NMOLnyNZg","G9jwU3O0HOXTHt43eJi2mg","fried cup juicy","food",73,4,3
"194","-aZiK1_rtdgyDB2a7GDGVA","mOaHJZYTsgB0G_TIKykFAA","cheese hushpuppy cheesy tasty","food",126,4,4
"195","-b7eXpomaQFDop5om8izfw","cYwJA2A6I12KNkm2rtXd5g","truffle burger onion little","food",89,4,4
"196","-b7kLfKEBSWoaunsBITdbg","tA5mqEP68qjbTFK9c14D7A","famou popcorn chicken","food",26,4,3
"197","-bBZBDxVv2l0FOLcg6aXKw","YxwxKqemcKwV4vIQXhVv_w","pizza","food",93,4.5,1
"198","-bV_HB4CMwojD4rbyfXrAA","EDXAuLL-tbnAA_PZRsnxGw","greek salad","food",18,2.5,2
"199","-cA6C1NGXHRN_ywoXR_Pgw","Tc511yME8axDPq2J6woxkg","fish fry","food",22,4.5,2
"200","-cUw8UAd7NCHXL-ToYUH0A","uOWWk2duBzNao8fiQFWkJQ","golden roll","food",11,3.5,2
"201","-cWlU8K2iVHjjO8P6eVxtA","Vhszq28BSjUnMkFRib3MRw","curry chicken","food",39,4,2
"202","-d1J0lEcns7SdfbqhKy77Q","RTegy5CUBpMK65pr8UeDgA","mixed bowl berry","food",21,4,3
"203","-dHBh7-bhe8494HD6mscvQ","g7bVip6ncXJC5xzkQMjohQ","orange beef","food",11,3,2
"204","-dfReizTvuHTuVdW_4L7Kw","2xjMLX8vNpQEisRKPgbP_w","strawberry shortcake vega deliciou","food",57,3.5,4
"205","-dosPgY3ahEjMOb4R09aRg","E_7RIDFNQfxREnI_E5h0uA","special","food",21,4.5,1
"206","-ejQ0-c4HEBg1J3qbBGKSQ","y7Js-07RF8d3N_AEtaw2VQ","burger yummy","food",19,3,2
"207","-elqTyjs5ztvfnEamDLyHQ","16tWXenJ1wTqugXJU7yiZg","chicken","food",15,4,1
"208","-f56clnmOG70rUYT05zdUw","g-ZseseezHTpF5eMfLrLgQ","rose crepe cake","food",15,4.5,3
"209","-f9v7i9HQFfaDqol7aAyOg","URa75T-A1QvjMUFNIPyukQ","style garlic shrimp","food",30,4.5,3
"210","-fHeJeF0kD5aQpCqVOUyJQ","u4IDWradF0DQSdfiUNpS2Q","pizza","food",24,4,1
