palabra1,palabra2,compuesta,Clase
side,rice,side rice,0
pig,japanese,pig japanese,0
served,rose,served rose,0
fry,slaw,fry slaw,0
grilled,charred,grilled charred,0
pretzel,love,pretzel love,0
pumpkin,orange,pumpkin orange,0
beef,satay,beef satay,0
flavor,dessert,flavor dessert,0
sea,butternut,sea butternut,0
elote,grilled,elote grilled,0
homemade,sweet,homemade sweet,0
fried,tasty,fried tasty,0
schnitzel,flavor,schnitzel flavor,0
cajun,rib,cajun rib,0
sausage,pretzel,sausage pretzel,0
deliciou,custard,deliciou custard,0
flavor,sweet,flavor sweet,1
beer,grape,beer grape,0
caramel,popcorn,caramel popcorn,0
carson,sausage,carson sausage,0
grape,basil,grape basil,0
gorgonzola,pear,gorgonzola pear,0
quarter,sweet,quarter sweet,0
wrapped,grilled,wrapped grilled,0
pink,blue,pink blue,0
mustard,crusted,mustard crusted,0
donut,apple,donut apple,0
potsticker,yummy,potsticker yummy,1
fresh,cold,fresh cold,0
celery,potato,celery potato,1
roasted,salmon,roasted salmon,0
tartare,chilled,tartare chilled,0
tortum,roll,tortum roll,1
roll,marium,roll marium,1
double,breast,double breast,0
avocado,panini,avocado panini,1
hot,wing,hot wing,0
classic,pomodoro,classic pomodoro,0
salad,maple,salad maple,0
andy,famou,andy famou,0
sausage,spaghetti,sausage spaghetti,0
crunch,sweet,crunch sweet,0
waffle,roll,waffle roll,0
bruschettum,bowl,bruschettum bowl,0
brownie,stick,brownie stick,0
hazelnut,brownie,hazelnut brownie,0
fish,topped,fish topped,0
salmon,lentil,salmon lentil,0
duck,waffle,duck waffle,0
corn,big,corn big,0
lime,mushroom,lime mushroom,0
love,cupcake,love cupcake,0
ginger,butter,ginger butter,0
ponzu,nori,ponzu nori,0
burger,beef,burger beef,1
ribeye,fired,ribeye fired,0
roasted,strawberry,roasted strawberry,0
noodle,peach,noodle peach,0
jelly,dessert,jelly dessert,0
chicken,bulgogi,chicken bulgogi,0
fresh,pumpkin,fresh pumpkin,0
vegan,chinese,vegan chinese,0
omelette,house,omelette house,0
shrimp,veggie,shrimp veggie,0
happy,fried,happy fried,0
tomato,avocado,tomato avocado,0
free,crust,free crust,0
mochi,slice,mochi slice,0
sausage,veggie,sausage veggie,0
verde,lettuce,verde lettuce,0
pecan,chocolate,pecan chocolate,0
pepper,herb,pepper herb,1
pesto,pollo,pesto pollo,0
craftkitchen,hazelnut,craftkitchen hazelnut,0
egg,tart,egg tart,0
love,matcha,love matcha,0
lunch,spicy,lunch spicy,0
goat,biryani,goat biryani,0
southern,burger,southern burger,0
salad,potato,salad potato,0
lunch,miso,lunch miso,0
mixed,veggie,mixed veggie,0
chef,chinese,chef chinese,0
buttermilk,blueberry,buttermilk blueberry,0
korean,kimchi,korean kimchi,1
crunchy,plate,crunchy plate,0
old,vanilla,old vanilla,0
miso,hollandaise,miso hollandaise,0
pancettum,beef,pancettum beef,1
large,tray,large tray,0
syrup,topped,syrup topped,0
asparagu,raspberry,asparagu raspberry,0
apple,maple,apple maple,0
spice,heat,spice heat,0
japanese,beef,japanese beef,1
beef,chive,beef chive,1
calamari,salad,calamari salad,0
edamame,ponzu,edamame ponzu,0
sundae,TRUE,sundae true,0
plate,honey,plate honey,0
unagi,spicy,unagi spicy,0
banh,kalbi,banh kalbi,0
tofu,poke,tofu poke,0
tasty,taco,tasty taco,0
wing,gluten,wing gluten,1
citru,aioli,citru aioli,0
pepper,potato,pepper potato,0
greek,plate,greek plate,0
ranch,arugula,ranch arugula,0
rib,grilled,rib grilled,0
thai,seafood,thai seafood,0
salmon,wheat,salmon wheat,1
trout,pea,trout pea,0
elvi,nutella,elvi nutella,0
grill,beef,grill beef,1
bolognese,sauce,bolognese sauce,1
fry,vegan,fry vegan,0
chip,special,chip special,0
lamb,sirloin,lamb sirloin,0
rice,plate,rice plate,0
style,fresh,style fresh,0
scallop,tasty,scallop tasty,0
smoked,caviar,smoked caviar,0
endoedible,corn,endoedible corn,0
roll,crispy,roll crispy,1
wing,quesadilla,wing quesadilla,0
sushi,teriyaki,sushi teriyaki,0
cracker,crust,cracker crust,0
spicy,mix,spicy mix,0
pepper,house,pepper house,0
charcoal,cherry,charcoal cherry,0
clockwise,bacon,clockwise bacon,1
skewer,pork,skewer pork,0
blue,roll,blue roll,0
pizza,wrap,pizza wrap,0
sunday,chicken,sunday chicken,0
taco,extra,taco extra,0
sauce,topped,sauce topped,0
double,rib,double rib,0
fajita,mexican,fajita mexican,0
leche,cake,leche cake,1
carpaccio,seared,carpaccio seared,0
deliciou,pound,deliciou pound,0
fry,pastrami,fry pastrami,0
yuzu,citru,yuzu citru,0
italian,topping,italian topping,0
filled,dipped,filled dipped,0
berry,sugar,berry sugar,0
love,sea,love sea,0
marshmallow,special,marshmallow special,0
seed,bread,seed bread,0
onion,jam,onion jam,0
kimchi,pastum,kimchi pastum,0
nacho,pretzel,nacho pretzel,0
tempura,pickled,tempura pickled,0
cake,benedict,cake benedict,0
spicy,alfredo,spicy alfredo,0
bulgogi,poutine,bulgogi poutine,0
chorizo,queso,chorizo queso,0
squash,zucchini,squash zucchini,0
toast,perfect,toast perfect,0
lunch,crispy,lunch crispy,0
tomato,sour,tomato sour,1
egg,dish,egg dish,0
ham,pesto,ham pesto,0
rib,onion,rib onion,0
little,spicy,little spicy,0
vega,love,vega love,0
coconut,mango,coconut mango,0
meat,pie,meat pie,0
pea,lemonade,pea lemonade,0
walnut,crisp,walnut crisp,1
free,tea,free tea,0
glazed,muffin,glazed muffin,0
horchatum,love,horchatum love,0
gourmet,food,gourmet food,0
wing,crispy,wing crispy,1
lamb,filet,lamb filet,0
special,corned,special corned,1
vegan,ravioli,vegan ravioli,1
steakhouse,burger,steakhouse burger,0
half,red,half red,0
chicken,juicy,chicken juicy,0
tasty,dressing,tasty dressing,0
potato,spicy,potato spicy,1
garden,pea,garden pea,0
sauce,bbq,sauce bbq,0
baked,filet,baked filet,0
tenderloin,pepper,tenderloin pepper,0
curry,iberico,curry iberico,0
toast,truffle,toast truffle,0
ham,little,ham little,0
foodie,beet,foodie beet,0
side,sweet,side sweet,0
cake,mousse,cake mousse,0
mixed,grill,mixed grill,0
seed,pudding,seed pudding,0
hot,fried,hot fried,0
cabbage,avocado,cabbage avocado,0
japanese,sea,japanese sea,0
box,bakery,box bakery,0
bibimbap,rice,bibimbap rice,0
sandwich,bruschettum,sandwich bruschettum,0
tasty,fatty,tasty fatty,0
arugula,sandwich,arugula sandwich,0
soy,fritter,soy fritter,0
hot,mustard,hot mustard,0
pancake,combo,pancake combo,0
cucumber,onion,cucumber onion,0
bacon,boiled,bacon boiled,0
endoedible,churro,endoedible churro,0
beef,shank,beef shank,1
celery,puree,celery puree,1
shortcake,donut,shortcake donut,0
tray,goody,tray goody,1
yam,maki,yam maki,0
pecan,pork,pecan pork,0
cherry,pecan,cherry pecan,0
toast,grape,toast grape,1
cake,slice,cake slice,0
sourdough,brioche,sourdough brioche,0
juice,bacon,juice bacon,0
roll,seafood,roll seafood,0
hazelnut,dulce,hazelnut dulce,1
friend,nut,friend nut,0
ricottum,warm,ricottum warm,0
served,sunday,served sunday,0
hot,dish,hot dish,0
strip,french,strip french,0
grilled,hollandaise,grilled hollandaise,1
pickle,masala,pickle masala,0
tuna,radish,tuna radish,0
shrimp,andouille,shrimp andouille,0
chicken,gravy,chicken gravy,1
belly,bowl,belly bowl,0
confit,rice,confit rice,0
butter,thyme,butter thyme,0
savory,cooked,savory cooked,0
crostini,lemon,crostini lemon,0
salad,enchilada,salad enchilada,0
set,roll,set roll,0
bacon,sweet,bacon sweet,1
seafood,steak,seafood steak,0
half,dessert,half dessert,0
cottum,grilled,cottum grilled,0
chilli,chicken,chilli chicken,0
berry,lemon,berry lemon,0
sour,grape,sour grape,0
baked,cooky,baked cooky,0
cinnamon,raisin,cinnamon raisin,0
hash,deliciou,hash deliciou,0
donut,cake,donut cake,0
chipotle,glazed,chipotle glazed,0
black,blue,black blue,0
pickled,cherry,pickled cherry,0
mignon,pomodoro,mignon pomodoro,0
angel,tasty,angel tasty,0
grill,pea,grill pea,0
chicken,chorizo,chicken chorizo,1
lobster,pad,lobster pad,0
classic,milk,classic milk,0
buttermilk,cream,buttermilk cream,0
parmesan,spice,parmesan spice,0
snow,mochi,snow mochi,0
order,piece,order piece,0
special,box,special box,0
carrot,deliciou,carrot deliciou,1
stuffed,grape,stuffed grape,0
banana,cream,banana cream,0
parmesan,meatball,parmesan meatball,0
truffle,popcorn,truffle popcorn,0
meat,ball,meat ball,0
salad,beef,salad beef,1
shrimp,steam,shrimp steam,0
squash,pomegranate,squash pomegranate,0
cupcake,maple,cupcake maple,0
vanilla,mousse,vanilla mousse,0
osterium,pastum,osterium pastum,1
order,burrito,order burrito,0
takoyaki,set,takoyaki set,0
order,lunch,order lunch,0
rice,bean,rice bean,0
chipotle,buttermilk,chipotle buttermilk,0
traditional,taiyaki,traditional taiyaki,0
vegetable,californium,vegetable californium,0
smoked,pecan,smoked pecan,0
pistachio,nutella,pistachio nutella,0
grapefruit,strawberry,grapefruit strawberry,1
sandwich,topped,sandwich topped,0
small,maple,small maple,0
roasted,seaweed,roasted seaweed,0
dessert,sugar,dessert sugar,0
edamame,flavor,edamame flavor,0
crab,piece,crab piece,0
onion,sunny,onion sunny,0
bowl,roll,bowl roll,0
bowl,romaine,bowl romaine,0
shaving,yummy,shaving yummy,0
basil,mascarpone,basil mascarpone,0
chili,slaw,chili slaw,0
jasmine,crispy,jasmine crispy,0
butter,milk,butter milk,0
charcuterie,meat,charcuterie meat,0
brew,cookie,brew cookie,0
style,garlic,style garlic,0
marshmallow,banana,marshmallow banana,0
ranch,wrap,ranch wrap,0
bowl,small,bowl small,0
combination,sweet,combination sweet,0
raspberry,love,raspberry love,0
egg,fat,egg fat,0
chef,omelet,chef omelet,0
breakfast,ice,breakfast ice,0
half,fish,half fish,0
platter,friend,platter friend,0
famou,popcorn,famou popcorn,0
brioche,butter,brioche butter,0
served,fresh,served fresh,0
truffle,risotto,truffle risotto,0
burger,french,burger french,0
wine,pan,wine pan,0
edamame,sea,edamame sea,0
clam,cucumber,clam cucumber,0
balsamic,chicken,balsamic chicken,0
seed,garlic,seed garlic,0
monkey,waffle,monkey waffle,0
love,hot,love hot,0
empanada,cotton,empanada cotton,0
biscuit,gravy,biscuit gravy,0
thick,broth,thick broth,0
pound,gluten,pound gluten,0
pork,broth,pork broth,1
bagel,platter,bagel platter,0
pastum,chef,pastum chef,0
fish,fried,fish fried,1
salmon,combo,salmon combo,0
stuffed,cream,stuffed cream,0
onion,cheddar,onion cheddar,0
corn,potato,corn potato,0
iced,latte,iced latte,0
parfait,salty,parfait salty,0
pea,rice,pea rice,0
beef,minced,beef minced,1
egg,spam,egg spam,0
guava,dried,guava dried,0
