photo_id,tienda_id,caption,label,length,stars,len_word
089VKFNMjwk7a9km0Hd8gg,,spiced apple tart almond ginger gelato caramelized white chocolate,food,87.0,3.5,9.0
08eJSFvTCSBDiOPigFdinQ,,chowder fry lobster roll,food,30.0,3.5,4.0
08eJSFvTCSBDiOPigFdinQ,,chowder fry lobster roll,food,30.0,3.5,4.0
08FJb6ISkzzK2Dud1GSrAw,,shrimp stuffed,food,40.0,4.0,2.0
08nBi6jColn3JZannsS4rQ,,bbq chicken sandwich,food,20.0,5.0,3.0
08nBi6jColn3JZannsS4rQ,,bbq chicken sandwich,food,20.0,5.0,3.0
_08oJ8zGdDcnPqh0r4_Suw,,salmon,food,13.0,4.0,1.0
08WkK8WgT28D2UEshhObvA,,greek salad,food,15.0,4.0,2.0
08WmgMn4gSBGR-t7A20MOQ,,cake,food,11.0,4.0,1.0
08YEHYMsHYpTQN1-nl982A,,house burger,food,18.0,4.0,2.0
_08YsAFcPKjLcAoWB-CiKg,,baked egg spinach sunday brunch,food,37.0,3.5,5.0
094jWUHY5ZnNnYh6fiO_1g,,grilled egg,food,34.0,3.5,2.0
09IBYP8kA8h-iBcCyldMuA,,shrimp orlean french bread sandwich little,food,127.0,4.0,6.0
09IBYP8kA8h-iBcCyldMuA,,shrimp orlean french bread sandwich little,food,127.0,4.0,6.0
09IBYP8kA8h-iBcCyldMuA,,shrimp orlean french bread sandwich little,food,127.0,4.0,6.0
09IBYP8kA8h-iBcCyldMuA,,shrimp orlean french bread sandwich little,food,127.0,4.0,6.0
09OQc4vREP1Ik_JNOVGipg,,chick waffle,food,23.0,3.5,2.0
09vgc4VZdacHEgJRGgbSzw,,chorizo hash egg,food,45.0,3.5,3.0
09WxHQPfxJn3ruMxXOX4WQ,,fetum berry salad,food,16.0,4.5,3.0
0aENmNthRzXz19KpoOE9rg,,burger,food,12.0,4.5,1.0
0Af3DgtnxKy1PAgVDqD0zQ,,chicken waffle,food,16.0,3.5,2.0
0aPBOVb7HCemdlUTKBKP-A,,carrot soup,food,11.0,4.0,2.0
0aSmxmotj4t5-GGl-QYXmQ,,pulled noodle soup,food,42.0,4.0,3.0
0AuP1rwvqbblOAWrmZnUIQ,,salad,food,5.0,3.0,1.0
0aVClt9IAIi5-W5x13EsiA,,chicken alfredo pizza,food,21.0,3.5,3.0
0aXvVgrLIc3016xosjZatg,,tuna tartare waffle fry,food,32.0,4.5,4.0
0aXvVgrLIc3016xosjZatg,,tuna tartare waffle fry,food,32.0,4.5,4.0
0B8DPtR9ovt9MwjxAHEvAQ,,torched salmon sushi,food,20.0,3.0,3.0
0B8DPtR9ovt9MwjxAHEvAQ,,torched salmon sushi,food,20.0,3.0,3.0
0BEN2-UFrvbyy26GIOyhlA,,edge margheritum pizza,food,24.0,3.5,3.0
0BlMTHo_pTRi6vSXCzyKzQ,,organic kale salad,food,25.0,4.0,3.0
0BNS6TsQSgs1Tww6hdn3sA,,breakfast,food,39.0,2.0,1.0
0bUFjrNl4w1V9Z2M1TUTVQ,,shrimp scallop,food,26.0,4.0,2.0
0c6u0hIWc8xJxcQ-ouVFww,,combo bbq,food,25.0,4.0,2.0
0C8hlnLk4GWKF8CwVMxh2Q,,beef pancake steamed dumpling,food,46.0,4.5,4.0
0Cd4-bMud-B21XK0ml91vA,,cake italian,food,37.0,4.0,2.0
0cibBdXJslMqVo8bKvuvNQ,,chorizo mini garlic mashed potato,food,55.0,4.0,5.0
0cJ7VBx4BSQXW20N-qjhcw,,rice vermicelli curry,food,46.0,4.5,3.0
0CkPVxBXWQ1ABmwd0WR0MQ,,crunchy shrimp roll tempura,food,46.0,4.0,4.0
0CkPVxBXWQ1ABmwd0WR0MQ,,crunchy shrimp roll tempura,food,46.0,4.0,4.0
-0cLSwqBZH9tGCbAf9D44w,,raspberry mango cake,food,90.0,4.0,3.0
0d2NLurNF6-gpdXmtO73yw,,heart breakfast atlantic smoked salmon,food,49.0,3.5,5.0
0d2NLurNF6-gpdXmtO73yw,,heart breakfast atlantic smoked salmon,food,49.0,3.5,5.0
0d5Al4E8PfghOjovoa9HOA,,thyme roasted milk veal chop homemade gnocchi,food,51.0,4.5,7.0
0d9RXYm_ogeI_ip1mptJeA,,chocolate piece,food,56.0,3.0,2.0
0dc-gocAubRJMkfHROFHag,,torched red snapper unagi shrimp,food,50.0,4.0,5.0
0dEWN07WhuxvHjT-uY3Opw,,egg waffle tea ice cream,food,51.0,4.0,5.0
0dEWN07WhuxvHjT-uY3Opw,,egg waffle tea ice cream,food,51.0,4.0,5.0
0dEWN07WhuxvHjT-uY3Opw,,egg waffle tea ice cream,food,51.0,4.0,5.0
0dGCQWywnbG4lpeY17PE8g,,asparagu fried egg,food,23.0,4.5,3.0
0dgrMgGbSvgPY1vdz1mlig,,tenderloin sandwich,food,19.0,3.0,2.0
0DLWzbR2aImVT3kCEFgTgA,,egg benedict,food,14.0,3.5,2.0
0DR6yDlwXi-tbIKWXNCCtQ,,bubble waffle matcha peanut flavour black sesame ice cream,food,70.0,3.5,9.0
0DR6yDlwXi-tbIKWXNCCtQ,,bubble waffle matcha peanut flavour black sesame ice cream,food,70.0,3.5,9.0
0dU7EtoTQhVEN5j8G9Ny0Q,,black pepper crab,food,17.0,3.5,3.0
0dWsXGhcY_7vUBKotPkxzg,,big burger caesar salad,food,54.0,3.5,4.0
0dWsXGhcY_7vUBKotPkxzg,,big burger caesar salad,food,54.0,3.5,4.0
0dxCP75dwJozDmhlVKeVsw,,chocolate orange topping cake,food,46.0,4.0,4.0
0dxCP75dwJozDmhlVKeVsw,,chocolate orange topping cake,food,46.0,4.0,4.0
0DyegxWN0pdIaBjEV6wmZQ,,shrimp chip fish curry mango sauce,food,79.0,4.0,6.0
0DyegxWN0pdIaBjEV6wmZQ,,shrimp chip fish curry mango sauce,food,79.0,4.0,6.0
0dytDeFAlh3BXlIzWS6vTw,,sea beef wellington lobster tail,food,68.0,4.0,5.0
0dytDeFAlh3BXlIzWS6vTw,,sea beef wellington lobster tail,food,68.0,4.0,5.0
0e95mE6Mx4-Y-wnI7kIGcA,,crunchy roll,food,13.0,4.0,2.0
0EByGFfvd1DKQffWdiuRqg,,big brunch burger,food,17.0,2.5,3.0
-0eje89y-_EACmitfJxBmQ,,combo sushi roll,food,26.0,3.5,3.0
-0eje89y-_EACmitfJxBmQ,,combo sushi roll,food,26.0,3.5,3.0
0el0eIBgfX5zO8kcCsaBHQ,,cheese charcuterie crab cake dinner,food,139.0,3.5,5.0
0el0eIBgfX5zO8kcCsaBHQ,,cheese charcuterie crab cake dinner,food,139.0,3.5,5.0
0el0eIBgfX5zO8kcCsaBHQ,,cheese charcuterie crab cake dinner,food,139.0,3.5,5.0
0_eSe2rh95vi0T0Jc0KZ7w,,beef pear,food,21.0,3.0,2.0
_0eUlulSosVclLyp_MNc7Q,,mocha swiss roll,food,16.0,4.0,3.0
0-eUmjM_IztbobWa8krfCQ,,big chicken salad served extra dressing,food,132.0,3.5,6.0
0eUOJvxrM4LE8YxKLcJdIw,,pizza,food,27.0,3.5,1.0
0EzOkbTrWvaJFAH8IiwQEw,,garlic tuna cajun super white,food,41.0,4.5,5.0
0_F87NbsPu7fmtrB1kCjFw,,dessert,food,17.0,3.5,1.0
0fdQx-Gd1qolfrCZZFeH-Q,,sticky rice meat,food,32.0,3.0,3.0
0fdQx-Gd1qolfrCZZFeH-Q,,sticky rice meat,food,32.0,3.0,3.0
0FF2d_IeO1Vt9JDWIaws7Q,,fresh biscuit strawberry puree,food,54.0,4.0,4.0
0FGzOWnyfyye0SO-khndNQ,,brioche french toast,food,41.0,4.5,3.0
0FJ8dZnWCMRGNdsgPJTQgg,,chicken shrimp beef,food,34.0,3.5,3.0
0FJ8dZnWCMRGNdsgPJTQgg,,chicken shrimp beef,food,34.0,3.5,3.0
0FLCt2E1Mq28xcZ89hA35g,,spicy octopus taco turf,food,50.0,5.0,4.0
0FXfnJWlbeinag7JRqUlRA,,avocado toast,food,23.0,4.0,2.0
0FxJ03OpULDHkf3QYcLGhA,,banana chocolate hazlenut crepe breakfast,food,41.0,3.0,5.0
0FxJ03OpULDHkf3QYcLGhA,,banana chocolate hazlenut crepe breakfast,food,41.0,3.0,5.0
0fZ09AQDHOzuhGTXbX8ewQ,,charcuterie cheese,food,20.0,4.0,2.0
0FZXe8_lEeFKvcSEMhIJyw,,roll,food,17.0,4.5,1.0
0G1nItOZwbh9dtrBElqw7Q,,burrito breakfast sunday,food,81.0,4.5,3.0
0g4wg9XC6YYH8Hni0hgFxw,,sesame tuna rice vegetable,food,47.0,4.0,4.0
0g4wg9XC6YYH8Hni0hgFxw,,sesame tuna rice vegetable,food,47.0,4.0,4.0
0G5G0hBCXmvLb1R9WrS4-A,,thai wrap avocado hummu,food,35.0,4.0,4.0
0G77FAfz4c_dFA3KIULTGA,,lobster risotto flavorful cocktail,food,62.0,4.5,4.0
0G7fW8j8MM4fchUuHdjsng,,salmon bento box,food,16.0,4.0,3.0
0g9RDEwqwyUk1GNVUvy_pg,,spam egg rice toast,food,26.0,3.5,4.0
0g9RDEwqwyUk1GNVUvy_pg,,spam egg rice toast,food,26.0,3.5,4.0
0gaPUyDsYCKbZtRsdo6jCw,,super fresh deliciou,food,26.0,4.5,3.0
0gB6dp5NbrQuuRRnUBIOSA,,dessert platter,food,16.0,4.0,2.0
0gexZPCqyi2lwsPcqF2EuQ,,maple waffle,food,12.0,3.5,2.0
0Gf8M3I4b-Z34kwnlqdWPw,,roll sweet chili sauce,food,35.0,4.0,4.0
0gjl4JqDxfqMOCSvrvQwXA,,brunch deliciou,food,51.0,3.5,2.0
0gMCpS8PiPEnTPlbF8N-DQ,,sandwich smoked salmon,food,37.0,4.5,3.0
0gMCpS8PiPEnTPlbF8N-DQ,,sandwich smoked salmon,food,37.0,4.5,3.0
0_go8EZWHSdIquLHWRmrPQ,,homemade sausage,food,16.0,4.5,2.0
0GOIszUTeT68El8L5MTYlw,,super sweet ice cream base ordered nut butter,food,90.0,4.0,8.0
0GSeQtVDEVvCPa5obzy-Mg,,small potato salad,food,24.0,4.0,3.0
0GSeQtVDEVvCPa5obzy-Mg,,small potato salad,food,24.0,4.0,3.0
0GXM4vjxOhgtKHG3l4zGjg,,cheese topped fetum olive oil baked fresh homemade dough,food,123.0,4.5,9.0
0H2ib2HkuqgVfN7VxVd3Og,,bacon avocado sandwich,food,33.0,4.0,3.0
0H2ib2HkuqgVfN7VxVd3Og,,bacon avocado sandwich,food,33.0,4.0,3.0
0H2ib2HkuqgVfN7VxVd3Og,,bacon avocado sandwich,food,33.0,4.0,3.0
0H7afo41pR6uPGldeOj6pA,,egg crab cake classic breakfast,food,66.0,4.0,5.0
0H7afo41pR6uPGldeOj6pA,,egg crab cake classic breakfast,food,66.0,4.0,5.0
0H7afo41pR6uPGldeOj6pA,,egg crab cake classic breakfast,food,66.0,4.0,5.0
0H7afo41pR6uPGldeOj6pA,,egg crab cake classic breakfast,food,66.0,4.0,5.0
0_hcoUAQe1Cq3x6iK_4Hzw,,chicken salad,food,13.0,4.5,2.0
0HddZO4Rlg3kUPrztYt6HQ,,mixed beef hot sauce plu,food,83.0,3.0,5.0
0hGjC8pGOEx7qBgLCW5NDA,,mango crepe roll,food,16.0,4.5,3.0
0HIB_v3p_5YOWKQpppUEng,,chicken waffle,food,17.0,4.0,2.0
0hJPFrSq8Sh-I-KSVZLN-w,,turkey sandwich medium little leg,food,79.0,3.5,5.0
0hkomObOUJTfAmqumzM6gQ,,mediterranean chicken salad,food,27.0,4.0,3.0
0HKTF6ghED2FJepPQehrnw,,mixed salad,food,17.0,3.0,2.0
0Hoa6wOPd8LAZ4iXb_6qxQ,,peking duck flavorful meat,food,47.0,3.5,4.0
0hrmudoM9F41T6Qpql3BvQ,,salmon,food,19.0,3.5,1.0
0HRzZ56b_wZJfmYxqhGAMA,,spaghetti spicy clam shrimp lobster crab calamari,food,96.0,3.5,7.0
0HRzZ56b_wZJfmYxqhGAMA,,spaghetti spicy clam shrimp lobster crab calamari,food,96.0,3.5,7.0
0HRzZ56b_wZJfmYxqhGAMA,,spaghetti spicy clam shrimp lobster crab calamari,food,96.0,3.5,7.0
0HV3cvwUqsSu6gSufvRLWQ,,treat chocolate,food,38.0,4.0,2.0
0hwYdXxjXGEbv4ZgBC_xfA,,angel cream,food,12.0,4.5,2.0
0hYzlcmDApLCZ0C6odxOuQ,,spinach artichoke ham cheese strawberry lemon banana chocolate crepe,food,76.0,3.5,9.0
0hYzlcmDApLCZ0C6odxOuQ,,spinach artichoke ham cheese strawberry lemon banana chocolate crepe,food,76.0,3.5,9.0
0hYzlcmDApLCZ0C6odxOuQ,,spinach artichoke ham cheese strawberry lemon banana chocolate crepe,food,76.0,3.5,9.0
0hyzpSIRva-WmqE_1LsCbw,,soy soup,food,23.0,3.5,2.0
0hZd5DRVr_9qBUOPwB0tqg,,brunch egg benedict,food,21.0,3.5,3.0
0HZ_Y3Qlb-Zedtt28Fio0A,,plate rice,food,22.0,4.5,2.0
0i9Ur7IYkFR7M3hjk5P6gQ,,bbq,food,20.0,4.0,1.0
0IIF-xya_yv27lWShontRA,,sushi pizza,food,11.0,3.5,2.0
0IIF-xya_yv27lWShontRA,,sushi pizza,food,11.0,3.5,2.0
0IK1NnAEmGOj4_1oyDyH7A,,scallop shrimp,food,22.0,3.5,2.0
0INOMNEsdhywFF81XjSI5w,,taco pick,food,22.0,4.0,2.0
0iqu9ZIVKwLUTXoYK0ZTiQ,,tea ice cream,food,36.0,4.0,3.0
0ISko3tRyqt_tlNpKeThoQ,,scrambled egg sausage cheese onion,food,83.0,4.0,5.0
0ISko3tRyqt_tlNpKeThoQ,,scrambled egg sausage cheese onion,food,83.0,4.0,5.0
0ISko3tRyqt_tlNpKeThoQ,,scrambled egg sausage cheese onion,food,83.0,4.0,5.0
0iX41EEA7t9KYmoI7Wk7aA,,roll crab pork belly bao bun,food,67.0,4.5,6.0
0iX41EEA7t9KYmoI7Wk7aA,,roll crab pork belly bao bun,food,67.0,4.5,6.0
0iX41EEA7t9KYmoI7Wk7aA,,roll crab pork belly bao bun,food,67.0,4.5,6.0
0IXlmH5Uz0Y3OdNJZCktEQ,,strawberry pancake,food,31.0,2.5,2.0
0IXVQKdEHsYEHH_aMQ-84g,,chicken salad fresh dressing,food,68.0,4.0,4.0
0iYqf4h8rCRvewcl9Ig0GA,,cannoli crispy pastry orange cream filling chocolate chip classic,food,134.0,4.0,9.0
0iYqf4h8rCRvewcl9Ig0GA,,cannoli crispy pastry orange cream filling chocolate chip classic,food,134.0,4.0,9.0
0J2IjeY5ThZLvwv3_xGuBQ,,chicken pesto sandwich homemade chip,food,43.0,3.0,5.0
0j6vMQiw1Lxi-okXcZdomw,,corn cheese,food,16.0,4.0,2.0
0JAUNPsMfe-M0IoOpZqTGA,,sandwich fry,food,23.0,3.5,2.0
0JD9IDDUMFJBJ8aYK80GCQ,,soft tofu beef kimchi stew plu dish,food,49.0,4.0,7.0
0JegGXpdudKEvGd_bRz9_w,,strawberry,food,12.0,4.0,1.0
0JepheI5IaZhO2pvf54DUA,,chicken tortilla soup,food,21.0,4.5,3.0
0jfktN7W9RYrHZllr_S3cg,,chopped salad,food,13.0,4.5,2.0
0jSQpd2jNVIG43jv5UEbdg,,short rib bone corn charred sweet garlic,food,126.0,4.5,7.0
0JwiTFgaIvOI27lXvYXmTg,,sushi,food,13.0,4.0,1.0
0jyTdq3_UR5VM9qNHyz5eA,,banana bread muffin,food,19.0,4.5,3.0
0K08vS7Gt25kHPeuH5thMA,,turkey burger,food,13.0,3.5,2.0
0k23A8OSF5wYL8PTpuUbeg,,red waffle,food,17.0,4.0,2.0
0k2HgFR7FdOxgl0tBGHJng,,pizza chocolate fudge cake,food,48.0,3.5,4.0
0k2HgFR7FdOxgl0tBGHJng,,pizza chocolate fudge cake,food,48.0,3.5,4.0
0k2HgFR7FdOxgl0tBGHJng,,pizza chocolate fudge cake,food,48.0,3.5,4.0
0k6HuyNNF3NjMUEcOJzwew,,shrimp pork dumpling bun,food,41.0,3.5,4.0
0k6HuyNNF3NjMUEcOJzwew,,shrimp pork dumpling bun,food,41.0,3.5,4.0
0k6i2vBbLrF5qxe_CmULNg,,pad thai lobster,food,16.0,4.5,3.0
0KbcAtUhIpvY2QuI_9ID2w,,bento box salmon teriyaki,food,54.0,4.0,4.0
0KbrUUFbJZLP2uT3d9FXbA,,egg benedict fried tomato sausage,food,75.0,4.0,5.0
0KbrUUFbJZLP2uT3d9FXbA,,egg benedict fried tomato sausage,food,75.0,4.0,5.0
0KbrUUFbJZLP2uT3d9FXbA,,egg benedict fried tomato sausage,food,75.0,4.0,5.0
0_K-f9iffTrFZdIsOdDLgg,,chocolate souffle cake,food,79.0,3.5,3.0
0_K-f9iffTrFZdIsOdDLgg,,chocolate souffle cake,food,79.0,3.5,3.0
0kgStQCz0zNp05gQfppmBw,,roll,food,43.0,4.5,1.0
0kynPN9tITGBKn3PIxHjOg,,tomato bruschettum,food,30.0,4.0,2.0
0L1oaGKSS8DBDGWy4-6qaA,,bolognese house egg traditional pea,food,115.0,3.5,5.0
0L2dOBTjEJjIj8RCzWUGtQ,,spicy pork dish,food,38.0,3.5,3.0
0l9g6eCBTBYVe8VURWzuWA,,carrot cake french toast,food,33.0,3.0,4.0
0l9g6eCBTBYVe8VURWzuWA,,carrot cake french toast,food,33.0,3.0,4.0
0lalauWdYB9heCH_7DMzGg,,goat cheese bruschettum,food,49.0,4.0,3.0
0lbbjmwhj2L_DgHa8HDceA,,crispy beef special,food,25.0,3.5,3.0
0lCPBu0wLYvclQY0KzIAhA,,salmon croissant benedict,food,25.0,4.0,3.0
0LcTVf8lHfnXFcI54nAYbA,,pork,food,12.0,4.0,1.0
0lFmNUcWKpbZqUe4trxT5Q,,dark chocolate mousse torte raspberry couli,food,63.0,4.5,6.0
0lIe-5PXlJ7_Vo-lLvmf1w,,chocolate cherry,food,28.0,3.5,2.0
0lPACSCw00Y5a-BCfJ02cw,,cheese,food,23.0,4.0,1.0
0lRjKQvuAdaYs-4N0ks8KA,,pizza caesar,food,54.0,3.5,2.0
0LT6ShB0R1aVIoxWA-1oLw,,french toast ordered extra serving fruit guava cream cheese,food,107.0,4.0,9.0
0LT6ShB0R1aVIoxWA-1oLw,,french toast ordered extra serving fruit guava cream cheese,food,107.0,4.0,9.0
0LT6ShB0R1aVIoxWA-1oLw,,french toast ordered extra serving fruit guava cream cheese,food,107.0,4.0,9.0
0m39bgxIu-4J0IhojI0tKg,,rice,food,12.0,4.5,1.0
0M5L9ALLTfac__IP9OxmMw,,duck flour tortilla cucumber sriracha sour cream,food,73.0,3.0,7.0
0mAYlvguuIgeaViHzleY2A,,tomato,food,11.0,4.5,1.0
0mbnNeOAIlQT6gQ9ZHF_mQ,,bacon,food,12.0,3.5,1.0
0m_c7OyUUSZh0Q3FjEGrZw,,french quarter mediterranean sea,food,36.0,3.5,4.0
0mgMYkC7aZUOyr70KzjaXA,,brunch berry waffle,food,20.0,4.0,3.0
0mixBkW4sOoCRQzASbJVKA,,black rice crab rock shrimp calamari,food,58.0,4.0,6.0
0mixBkW4sOoCRQzASbJVKA,,black rice crab rock shrimp calamari,food,58.0,4.0,6.0
0mixBkW4sOoCRQzASbJVKA,,black rice crab rock shrimp calamari,food,58.0,4.0,6.0
0mjW2wZTB7Xay6WrWcd4jQ,,chicken pie,food,15.0,4.5,2.0
0MKZpm5ca3nK2QPIAej9oA,,asian bbq vega,food,28.0,4.5,3.0
0MOuVoMWjBfdneljP_P_sA,,soup,food,12.0,3.5,1.0
0mpgclccLI_E2ah1iLWyYQ,,pan fried iberico pork dumpling,food,31.0,4.0,5.0
0MqCuD1BxV0JT5kxXxeIyg,,style papaya salad spice flavor tongue,food,103.0,4.0,6.0
0msJWkINt5YbLfm74qBCHQ,,tuna tartare,food,12.0,4.5,2.0
0MSLoIWS9WAQE-3bfdZYkA,,mango dessert pancake,food,50.0,4.0,3.0
0mtdDdw8Ow1MsQOGf09Yfw,,burger,food,10.0,4.0,1.0
0Mv7980uGKgkpFUCR4OnPQ,,veggie dragon roll vegetarian,food,98.0,4.0,4.0
0mwDgLZ8aorexqHoE6G8Rg,,pork banh benedict,food,21.0,3.5,3.0
0My_k-jqst_adeSRvzH2Ew,,sausage egg cheese,food,21.0,4.0,3.0
0My_k-jqst_adeSRvzH2Ew,,sausage egg cheese,food,21.0,4.0,3.0
0My_k-jqst_adeSRvzH2Ew,,sausage egg cheese,food,21.0,4.0,3.0
0n_73NytncOqtyL0UkQHTA,,chocolate white hazelnut mousse rice vanilla ice cream,food,117.0,4.0,8.0
0n_73NytncOqtyL0UkQHTA,,chocolate white hazelnut mousse rice vanilla ice cream,food,117.0,4.0,8.0
0n_73NytncOqtyL0UkQHTA,,chocolate white hazelnut mousse rice vanilla ice cream,food,117.0,4.0,8.0
0NB2nd5UDjHEPFMaiq6yRA,,cheese pizza,food,27.0,4.5,2.0
0NB2nd5UDjHEPFMaiq6yRA,,cheese pizza,food,27.0,4.5,2.0
0nBCuZmxaypwp3iguuX9-A,,roll,food,20.0,4.0,1.0
0nbNQu_ML3O8z0VOS0XeNw,,dessert,food,20.0,4.0,1.0
0NdVQZYTCwDap1H_0t-eVQ,,dessert tempura ice cream topped,food,111.0,4.5,5.0
0NdVQZYTCwDap1H_0t-eVQ,,dessert tempura ice cream topped,food,111.0,4.5,5.0
0njTe2Ru2kXfMoFa9uTj0Q,,soup,food,12.0,5.0,1.0
0NNF7MYAiyoQ4GioyXxrpw,,taco,food,9.0,4.0,1.0
0NsuSCYzjFlhkNXXyc244w,,spicy bbq,food,22.0,4.0,2.0
0NwBxvptEyxGRYCtRY884A,,candy dessert tasty,food,62.0,4.5,3.0
0nWy2F2xfApbM0Aqk3Bz5w,,charcoal egg yolk bun,food,32.0,3.0,4.0
0O1jLNJlu_HkvbTPnNoOtg,,chorizo burger,food,24.0,2.5,2.0
0o269vYBFhM_oso6aGPLvg,,fried fish ball curry,food,27.0,3.0,4.0
0o5LYPQGsfb-ywztIlZXmg,,fish sandwich special road,food,106.0,3.5,4.0
0o5LYPQGsfb-ywztIlZXmg,,fish sandwich special road,food,106.0,3.5,4.0
0O5UY-eiJtboIDK5BNQ-vg,,pork tenderloin,food,15.0,4.0,2.0
0o-6s4elvRBGJHvxewPA_Q,,flavor pork vegetable spicy,food,113.0,4.0,4.0
0O8PtEjhZEHIQO4wVC5xDQ,,avocado toast lavender latte,food,30.0,4.0,4.0
0Oe4vLRCNfy21zYcOZbIbw,,pork belly bun,food,15.0,3.0,3.0
