palabra1,palabra2,compuesta,Clase
grilled,grilled,grilled pork,0
buttermilk,buttermilk,buttermilk crispy,0
papaya,papaya,papaya salad,0
beef,beef,beef noodle,0
californium,californium,californium roll,0
sea,sea,sea salt,0
potato,potato,potato salad,0
chicken,chicken,chicken katsu,0
milk,milk,milk tea,0
brown,brown,brown butter,0
maple,maple,maple syrup,0
chicken,chicken,chicken shawarma,0
tomato,tomato,tomato sauce,0
lettuce,lettuce,lettuce tomato,0
curry,curry,curry chicken,0
hot,hot,hot chocolate,0
french,french,french fry,0
burger,burger,burger fry,0
popcorn,popcorn,popcorn chicken,0
bacon,bacon,bacon wrapped,0
cheeseburger,cheeseburger,cheeseburger extra,0
pork,pork,pork sandwich,0
sour,sour,sour cream,0
caramelized,caramelized,caramelized onion,0
bbq,bbq,bbq chicken,0
apple,apple,apple pie,0
beef,beef,beef rib,0
garlic,garlic,garlic bread,0
black,black,black truffle,0
shrimp,shrimp,shrimp cocktail,0
strawberry,strawberry,strawberry vanilla,0
chicken,chicken,chicken quesadilla,0
duck,duck,duck breast,0
rice,rice,rice bean,0
roasted,roasted,roasted turkey,0
honey,honey,honey toast,0
sushi,sushi,sushi roll,0
chipotle,chipotle,chipotle chicken,0
bacon,bacon,bacon cheeseburger,0
blue,blue,blue cheese,0
grilled,grilled,grilled octopus,0
bento,bento,bento box,0
breakfast,breakfast,breakfast burrito,0
tikka,tikka,tikka masala,0
chicken,chicken,chicken tikka,0
chicken,chicken,chicken egg,0
bacon,bacon,bacon egg,0
garlic,garlic,garlic sauce,0
house,house,house salad,0
chip,chip,chip salsa,0
lettuce,lettuce,lettuce wrap,0
chicken,chicken,chicken bacon,0
smoked,smoked,smoked bacon,0
turkey,turkey,turkey apple,0
apple,apple,apple cheddar,0
chili,chili,chili cheese,0
chocolate,chocolate,chocolate mousse,0
braised,braised,braised beef,0
kale,kale,kale salad,0
grilled,grilled,grilled shrimp,0
fresh,fresh,fresh mozzarella,0
vanilla,vanilla,vanilla crepe,0
corned,corned,corned beef,0
zesty,zesty,zesty nacho,0
hot,hot,hot sauce,0
italian,italian,italian cheese,0
cheddar,cheddar,cheddar cheese,0
peking,peking,peking duck,0
roasted,roasted,roasted pineapple,0
cream,cream,cream sauce,0
chicken,chicken,chicken plate,0
butter,butter,butter chicken,0
red,red,red pepper,0
spicy,spicy,spicy pork,0
salmon,salmon,salmon belly,0
tuna,tuna,tuna roll,0
miso,miso,miso raman,0
strawberry,strawberry,strawberry shortcake,0
beet,beet,beet salad,0
truffle,truffle,truffle fry,0
strawberry,strawberry,strawberry pancake,0
snow,snow,snow crab,0
cookie,cookie,cookie dough,0
roasted,roasted,roasted chicken,0
chicken,chicken,chicken cheese,0
braised,braised,braised pork,0
asada,asada,asada fry,0
onion,onion,onion soup,0
sushi,sushi,sushi sashimi,0
spaghetti,spaghetti,spaghetti meatball,0
banana,banana,banana chocolate,0
grilled,grilled,grilled salmon,0
dry,dry,dry aged,0
tea,tea,tea ice,0
lech,lech,lech pancake,0
dipping,dipping,dipping sauce,0
classic,classic,classic chicken,0
black,black,black pepper,0
street,street,street corn,0
ham,ham,ham cheese,0
egg,egg,egg avocado,0
cheese,cheese,cheese pizza,0
avocado,avocado,avocado wrap,0
rainbow,rainbow,rainbow roll,0
banana,banana,banana split,0
strawberry,strawberry,strawberry cheesecake,0
bone,bone,bone ribeye,0
french,french,french onion,0
cheese,cheese,cheese steak,0
duck,duck,duck confit,0
condensed,condensed,condensed milk,0
mexican,mexican,mexican tre,0
fried,fried,fried calamari,0
cheese,cheese,cheese burger,0
tonkotsu,tonkotsu,tonkotsu raman,0
cookie,cookie,cookie monster,0
fresh,fresh,fresh fruit,0
bacon,bacon,bacon cheese,0
salad,salad,salad chicken,0
chocolate,chocolate,chocolate sauce,0
orange,orange,orange chicken,0
seaweed,seaweed,seaweed salad,0
butternut,butternut,butternut squash,0
egg,egg,egg white,0
lamb,lamb,lamb shank,0
complimentary,complimentary,complimentary bread,0
brunch,brunch,brunch burger,0
fried,fried,fried tomato,0
berry,berry,berry caramel,0
cheese,cheese,cheese bacon,0
smoked,smoked,smoked meat,0
pork,pork,pork rice,0
bread,bread,bread basket,0
banana,banana,banana berry,0
spider,spider,spider roll,0
roasted,roasted,roasted pork,0
cream,cream,cream pie,0
caramel,caramel,caramel crepe,0
white,white,white rice,0
rice,rice,rice cake,0
chicken,chicken,chicken beef,0
fire,fire,fire grilled,0
chicken,chicken,chicken karaage,0
chicken,chicken,chicken teriyaki,0
spicy,spicy,spicy sauce,0
chip,chip,chip cooky,0
korean,korean,korean bbq,0
crab,crab,crab meat,0
sunday,sunday,sunday brunch,0
bbq,bbq,bbq sauce,0
soup,soup,soup salad,0
chocolate,chocolate,chocolate brownie,0
brown,brown,brown sugar,0
big,big,big brunch,0
mozzarella,mozzarella,mozzarella tomato,0
purple,purple,purple potato,0
tuna,tuna,tuna salmon,0
crispy,crispy,crispy rice,0
stone,stone,stone crab,0
fried,fried,fried shrimp,0
rice,rice,rice black,0
chicken,chicken,chicken pork,0
panna,panna,panna cottum,0
chorizo,chorizo,chorizo burger,0
cream,cream,cream sandwich,0
bubble,bubble,bubble waffle,0
bread,bread,bread butter,0
beef,beef,beef wellington,0
chicken,chicken,chicken scrambled,0
quail,quail,quail egg,0
mongolian,mongolian,mongolian beef,0
avocado,avocado,avocado salad,0
chicken,chicken,chicken parmesan,0
pepper,pepper,pepper onion,0
egg,egg,egg bacon,0
mango,mango,mango sticky,0
roasted,roasted,roasted garlic,0
strawberry,strawberry,strawberry banana,0
baked,baked,baked potato,0
beef,beef,beef short,0
thai,thai,thai tea,0
salmon,salmon,salmon salad,0
macaroni,macaroni,macaroni cheese,0
tomato,tomato,tomato soup,0
red,red,red wine,0
chicken,chicken,chicken pizza,0
salmon,salmon,salmon sashimi,0
angu,angu,angu beef,0
chile,chile,chile relleno,0
chicken,chicken,chicken bowl,0
lobster,lobster,lobster cheese,0
beef,beef,beef taco,0
teriyaki,teriyaki,teriyaki chicken,0
street,street,street taco,0
waffle,waffle,waffle cone,0
maple,maple,maple bacon,0
tuna,tuna,tuna tartare,0
cheese,cheese,cheese frosting,0
shrimp,shrimp,shrimp dumpling,0
crispy,crispy,crispy pork,0
margheritum,margheritum,margheritum pizza,0
pepperoni,pepperoni,pepperoni pizza,0
sticky,sticky,sticky toffee,0
drunken,drunken,drunken noodle,0
shishito,shishito,shishito pepper,0
red,red,red curry,0
meat,meat,meat sauce,0
steak,steak,steak sandwich,0
shrimp,shrimp,shrimp fried,0
asada,asada,asada taco,0
dulce,dulce,dulce leche,0
charcuterie,charcuterie,charcuterie board,0
cotton,cotton,cotton candy,0
hazlenut,hazlenut,hazlenut crepe,0
chocolate,chocolate,chocolate hazlenut,0
chef,chef,chef special,0
roasted,roasted,roasted cauliflower,0
beef,beef,beef tartare,0
salsa,salsa,salsa verde,0
beef,beef,beef hash,0
toffee,toffee,toffee pudding,0
salmon,salmon,salmon sushi,0
egg,egg,egg cheese,0
fresh,fresh,fresh bread,0
garlic,garlic,garlic shrimp,0
roll,roll,roll spicy,0
miso,miso,miso soup,0
pastor,pastor,pastor taco,0
waffle,waffle,waffle fry,0
shrimp,shrimp,shrimp scampi,0
khao,khao,khao soi,0
angel,angel,angel pastum,0
strawberry,strawberry,strawberry ice,0
caprese,caprese,caprese salad,0
vega,vega,vega roll,0
sashimi,sashimi,sashimi platter,0
soup,soup,soup dumpling,0
banana,banana,banana cream,0
rib,rib,rib steak,0
toseeroll,toseeroll,toseeroll pokebar,0
chopped,chopped,chopped salad,0
pimento,pimento,pimento cheese,0
rib,rib,rib salad,0
passion,passion,passion fruit,0
spicy,spicy,spicy beef,0
bacon,bacon,bacon cheddar,0
spicy,spicy,spicy shrimp,0
pork,pork,pork dumpling,0
thai,thai,thai chicken,0
pork,pork,pork sausage,0
tomato,tomato,tomato basil,0
chicken,chicken,chicken alfredo,0
lobster,lobster,lobster risotto,0
shrimp,shrimp,shrimp roll,0
burger,burger,burger cheese,0
graham,graham,graham cracker,0
apple,apple,apple fritter,0
chocolate,chocolate,chocolate pancake,0
shrimp,shrimp,shrimp salad,0
chicken,chicken,chicken pad,0
cold,cold,cold noodle,0
corn,corn,corn cheese,0
chicken,chicken,chicken shrimp,0
roast,roast,roast beef,0
rice,rice,rice bowl,0
mediterranean,mediterranean,mediterranean bowl,0
atlantic,atlantic,atlantic salmon,0
beef,beef,beef carpaccio,0
mediterranean,mediterranean,mediterranean chicken,0
crab,crab,crab roll,0
rolled,rolled,rolled ice,0
coconut,coconut,coconut cream,0
chilean,chilean,chilean sea,0
belgian,belgian,belgian chocolate,0
seafood,seafood,seafood platter,0
kimchi,kimchi,kimchi fried,0
fried,fried,fried fish,0
cream,cream,cream chocolate,0
bbq,bbq,bbq burger,0
white,white,white pizza,0
soy,soy,soy sauce,0
crepe,crepe,crepe cake,0
blue,blue,blue crab,0
hong,hong,hong kong,0
sweet,sweet,sweet shrimp,0
sushi,sushi,sushi burrito,0
sandwich,sandwich,sandwich fry,0
cheese,cheese,cheese curd,0
shrimp,shrimp,shrimp scallop,0
sashimi,sashimi,sashimi salad,0
garlic,garlic,garlic butter,0
minced,minced,minced pork,0
fried,fried,fried noodle,0
rice,rice,rice roll,0
coffee,coffee,coffee cake,0
fried,fried,fried dumpling,0
rice,rice,rice chicken,0
cheese,cheese,cheese blend,0
lemon,lemon,lemon meringue,0
balsamic,balsamic,balsamic glaze,0
chicken,chicken,chicken curry,0
chicken,chicken,chicken fry,0
quinoa,quinoa,quinoa salad,0
crispy,crispy,crispy shrimp,0
seafood,seafood,seafood pastum,0
smoothie,smoothie,smoothie fresh,0
chicken,chicken,chicken pie,0
fried,fried,fried pork,0
chicken,chicken,chicken avocado,0
marinara,marinara,marinara sauce,0
fried,fried,fried ice,0
cake,cake,cake vanilla,0
brownie,brownie,brownie sundae,0
skirt,skirt,skirt steak,0
cherry,cherry,cherry tomato,0
cream,cream,cream cake,0
cherry,cherry,cherry pepper,0
cinnamon,cinnamon,cinnamon sugar,0
coconut,coconut,coconut milk,0
crab,crab,crab fried,0
shrimp,shrimp,shrimp taco,0
pork,pork,pork taco,0
chicken,chicken,chicken satay,0
steak,steak,steak tartare,0
swiss,swiss,swiss cheese,0
pork,pork,pork katsu,0
pork,pork,pork bone,0
tempura,tempura,tempura roll,0
sweet,sweet,sweet spicy,0
smoked,smoked,smoked brisket,0
braised,braised,braised short,0
seared,seared,seared tuna,0
cheese,cheese,cheese sandwich,0
black,black,black cod,0
cheese,cheese,cheese tomato,0
fried,fried,fried tofu,0
spicy,spicy,spicy miso,0
matcha,matcha,matcha soft,0
chocolate,chocolate,chocolate hazelnut,0
cheese,cheese,cheese plate,0
chili,chili,chili sauce,0
sauce,sauce,sauce asparagu,0
traditional,traditional,traditional pastum,0
pastum,pastum,pastum spaghetti,0
super,super,super white,0
black,black,black garlic,0
mushroom,mushroom,mushroom pizza,0
ground,ground,ground beef,0
beef,beef,beef chicken,0
asparagu,asparagu,asparagu tomato,0
chicken,chicken,chicken noodle,0
cheese,cheese,cheese sauce,0
stuffed,stuffed,stuffed chicken,0
house,house,house special,0
spinach,spinach,spinach artichoke,0
caramel,caramel,caramel sauce,0
tomato,tomato,tomato salad,0
crispy,crispy,crispy onion,0
pineapple,pineapple,pineapple salsa,0
monster,monster,monster cookie,0
crispy,crispy,crispy duck,0
cake,cake,cake cream,0
tomato,tomato,tomato balsamic,0
half,half,half chicken,0
breakfast,breakfast,breakfast lunch,0
egg,egg,egg yolk,0
katsu,katsu,katsu curry,0
pork,pork,pork tenderloin,0
red,red,red cupcake,0
grilled,grilled,grilled flavor,0
black,black,black white,0
sesame,sesame,sesame ice,0
fresh,fresh,fresh roll,0
ribeye,ribeye,ribeye steak,0
applewood,applewood,applewood smoked,0
bbq,bbq,bbq rib,0
buttermilk,buttermilk,buttermilk fried,0
shoyu,shoyu,shoyu raman,0
shrimp,shrimp,shrimp sauteed,0
sauteed,sauteed,sauteed garlic,0
beef,beef,beef tenderloin,0
kimchi,kimchi,kimchi fry,0
yellow,yellow,yellow tail,0
super,super,super deliciou,0
dusted,dusted,dusted sugar,0
strawberry,strawberry,strawberry cream,0
chocolate,chocolate,chocolate ice,0
beef,beef,beef salad,0
hot,hot,hot sour,0
pastry,pastry,pastry cream,0
beef,beef,beef tongue,0
red,red,red sauce,0
pitum,pitum,pitum bread,0
cheese,cheese,cheese meat,0
tempura,tempura,tempura shrimp,0
steak,steak,steak salad,0
butter,butter,butter cake,0
chicken,chicken,chicken nacho,0
mushroom,mushroom,mushroom swiss,0
milk,milk,milk chocolate,0
caribbean,caribbean,caribbean chicken,0
beer,beer,beer cheese,0
portobello,portobello,portobello mushroom,0
vanilla,vanilla,vanilla bean,0
red,red,red snapper,0
banana,banana,banana bread,0
sea,sea,sea scallop,0
chicken,chicken,chicken burrito,0
roast,roast,roast duck,0
tomato,tomato,tomato angel,0
warm,warm,warm chocolate,0
seafood,seafood,seafood paella,0
buttermilk,buttermilk,buttermilk biscuit,0
cheddar,cheddar,cheddar roasted,0
pepperoni,pepperoni,pepperoni sausage,0
crispy,crispy,crispy fried,0
sesame,sesame,sesame seed,0
lobster,lobster,lobster shrimp,0
spicy,spicy,spicy noodle,0
lobster,lobster,lobster bisque,0
pepper,pepper,pepper chicken,0
romaine,romaine,romaine sauce,0
seafood,seafood,seafood pancake,0
chicken,chicken,chicken sandwhich,0
chicken,chicken,chicken strip,0
sunny,sunny,sunny egg,0
salsa,salsa,salsa romaine,0
onion,onion,onion tomato,0
combo,combo,combo platter,0
boiled,boiled,boiled egg,0
red,red,red cake,0
cheese,cheese,cheese served,0
red,red,red dragon,0
sweet,sweet,sweet corn,0
chicken,chicken,chicken kabob,0
taco,taco,taco salad,0
rib,rib,rib sandwich,0
fried,fried,fried onion,0
garlic,garlic,garlic parmesan,0
blend,blend,blend salsa,0
belgian,belgian,belgian waffle,0
salmon,salmon,salmon tuna,0
almond,almond,almond cookie,0
brisket,brisket,brisket sandwich,0
meat,meat,meat sandwich,0
monkey,monkey,monkey bread,0
beef,beef,beef rice,0
cinnamon,cinnamon,cinnamon spice,0
toasted,toasted,toasted coconut,0
cheese,cheese,cheese board,0
jasmine,jasmine,jasmine rice,0
queso,queso,queso blanco,0
bone,bone,bone soup,0
rock,rock,rock shrimp,0
district,district,district donut,0
donut,donut,donut brew,0
buttermilk,buttermilk,buttermilk pancake,0
lunch,lunch,lunch dinner,0
blueberry,blueberry,blueberry pancake,0
white,white,white truffle,0
mozzarella,mozzarella,mozzarella cheese,0
fire,fire,fire roasted,0
garlic,garlic,garlic chicken,0
pesto,pesto,pesto pizza,0
red,red,red pancake,0
cheese,cheese,cheese cake,0
steamed,steamed,steamed rice,0
wrap,wrap,wrap rice,0
smoked,smoked,smoked cheese,0
spinach,spinach,spinach salad,0
salad,salad,salad fresh,0
bean,bean,bean cheddar,0
coconut,coconut,coconut shrimp,0
chili,chili,chili oil,0
pulled,pulled,pulled chicken,0
bean,bean,bean sauce,0
custard,custard,custard bun,0
fatty,fatty,fatty tuna,0
iced,iced,iced tea,0
belly,belly,belly bun,0
oreo,oreo,oreo cheesecake,0
tofu,tofu,tofu soup,0
glaze,glaze,glaze pesto,0
corn,corn,corn tortilla,0
caprese,caprese,caprese chicken,0
smoked,smoked,smoked turkey,0
pizza,pizza,pizza slouse,0
chicken,chicken,chicken grilled,0
grilled,grilled,grilled fresh,0
shrimp,shrimp,shrimp ceviche,0
cheese,cheese,cheese pastum,0
sandwhich,sandwhich,sandwhich grilled,0
caramel,caramel,caramel cheesecake,0
pumpkin,pumpkin,pumpkin spice,0
quesadilla,quesadilla,quesadilla mix,0
half,half,half rib,0
fried,fried,fried pickle,0
huge,huge,huge portion,0
pineapple,pineapple,pineapple queso,0
mix,mix,mix roasted,0
pie,pie,pie almond,0
shredded,shredded,shredded chicken,0
wrap,wrap,wrap bowl,0
rice,rice,rice avocado,0
alfredo,alfredo,alfredo sauce,0
shrimp,shrimp,shrimp crab,0
torched,torched,torched salmon,0
egg,egg,egg noodle,0
korean,korean,korean fried,0
wing,wing,wing fry,0
tuna,tuna,tuna poke,0
sauce,sauce,sauce cheese,0
blanco,blanco,blanco smoked,0
banana,banana,banana nutella,0
spice,spice,spice latte,0
fried,fried,fried oreo,0
sweet,sweet,sweet chili,0
smoked,smoked,smoked trout,0
red,red,red chili,0
brioche,brioche,brioche bun,0
roasted,roasted,roasted corn,0
hot,hot,hot chicken,0
orchid,orchid,orchid garden,0
shrimp,shrimp,shrimp pork,0
chocolate,chocolate,chocolate peanut,0
bacon,bacon,bacon jam,0
roasted,roasted,roasted pepper,0
beef,beef,beef burger,0
chicken,chicken,chicken pesto,0
roasted,roasted,roasted red,0
house,house,house sauce,0
breaded,breaded,breaded chicken,0
matcha,matcha,matcha ice,0
pork,pork,pork cheek,0
chef,chef,chef salad,0
cake,cake,cake mousse,0
deliciou,deliciou,deliciou food,0
seared,seared,seared salmon,0
food,food,food deliciou,0
chocolate,chocolate,chocolate dipped,0
veggie,veggie,veggie burger,0
grill,grill,grill seasoning,0
banana,banana,banana pancake,0
mushroom,mushroom,mushroom risotto,0
avocado,avocado,avocado garbanzo,0
fresh,fresh,fresh deliciou,0
home,home,home fry,0
classic,classic,classic shrimp,0
chocolate,chocolate,chocolate cookie,0
garlic,garlic,garlic parsley,0
potato,potato,potato pancake,0
italian,italian,italian beef,0
vanilla,vanilla,vanilla cream,0
white,white,white tuna,0
nutella,nutella,nutella almond,0
bean,bean,bean curd,0
spicy,spicy,spicy crab,0
sauce,sauce,sauce melted,0
breast,breast,breast topped,0
arugula,arugula,arugula salad,0
egg,egg,egg sandwich,0
avocado,avocado,avocado egg,0
garbanzo,garbanzo,garbanzo bowl,0
sour,sour,sour soup,0
white,white,white wine,0
bacon,bacon,bacon burger,0
caramel,caramel,caramel ice,0
japanese,japanese,japanese style,0
chocolate,chocolate,chocolate cream,0
white,white,white sauce,0
cream,cream,cream berry,0
wrapped,wrapped,wrapped date,0
iberico,iberico,iberico pork,0
curry,curry,curry sauce,0
roll,roll,roll sushi,0
sauce,sauce,sauce topped,0
fresh,fresh,fresh strawberry,0
chicken,chicken,chicken dinner,0
egg,egg,egg waffle,0
burger,burger,burger sweet,0
korean,korean,korean style,0
italian,italian,italian sausage,0
swiss,swiss,swiss burger,0
stuffed,stuffed,stuffed mushroom,0
nutella,nutella,nutella crepe,0
octopus,octopus,octopus salad,0
baked,baked,baked bean,0
snow,snow,snow pea,0
veggie,veggie,veggie pizza,0
beef,beef,beef tataki,0
tortilla,tortilla,tortilla chip,0
pastum,pastum,pastum salad,0
stuffed,stuffed,stuffed french,0
pepper,pepper,pepper shrimp,0
biscuit,biscuit,biscuit gravy,0
beef,beef,beef sandwich,0
roasted,roasted,roasted tomato,0
double,double,double chocolate,0
cream,cream,cream strawberry,0
little,little,little dessert,0
grilled,grilled,grilled asparagu,0
sauce,sauce,sauce dipping,0
cucumber,cucumber,cucumber salad,0
shrimp,shrimp,shrimp alfredo,0
fetum,fetum,fetum cheese,0
meat,meat,meat cheese,0
fruit,fruit,fruit tart,0
cheeseburger,cheeseburger,cheeseburger fry,0
chicken,chicken,chicken sauce,0
shawarma,shawarma,shawarma plate,0
pineapple,pineapple,pineapple fried,0
homemade,homemade,homemade marinara,0
kaftum,kaftum,kaftum beef,0
pork,pork,pork roll,0
waffle,waffle,waffle ice,0
bbq,bbq,bbq beef,0
sauce,sauce,sauce topping,0
sausage,sausage,sausage pepperoni,0
cheddar,cheddar,cheddar sandwich,0
lime,lime,lime pie,0
veal,veal,veal chop,0
endoedible,endoedible,endoedible thanksgiving,0
shrimp,shrimp,shrimp chicken,0
sashimi,sashimi,sashimi roll,0
fresh,fresh,fresh berry,0
fresh,fresh,fresh salmon,0
hot,hot,hot stone,0
lunch,lunch,lunch combo,0
cheese,cheese,cheese chicken,0
little,little,little szechuan,0
chocolate,chocolate,chocolate strawberry,0
salad,salad,salad deliciou,0
pizza,pizza,pizza margheritum,0
salad,salad,salad grilled,0
roll,roll,roll salmon,0
turkey,turkey,turkey burger,0
cowboy,cowboy,cowboy bbq,0
pan,pan,pan roasted,0
beef,beef,beef stew,0
mango,mango,mango salad,0
cream,cream,cream caramel,0
classic,classic,classic pastum,0
grilled,grilled,grilled onion,0
brioche,brioche,brioche french,0
chocolate,chocolate,chocolate cupcake,0
steak,steak,steak taco,0
crispy,crispy,crispy brussel,0
salmon,salmon,salmon poke,0
roasted,roasted,roasted vegetable,0
greek,greek,greek yogurt,0
charred,charred,charred octopus,0
crab,crab,crab salad,0
fresh,fresh,fresh tomato,0
clam,clam,clam chowder,0
chicken,chicken,chicken caesar,0
acai,acai,acai bowl,0
double,double,double chicken,0
egg,egg,egg breakfast,0
stone,stone,stone bowl,0
wing,wing,wing sauce,0
thai,thai,thai style,0
bone,bone,bone rib,0
fresh,fresh,fresh fish,0
curry,curry,curry rice,0
style,style,style fried,0
beef,beef,beef cheek,0
noodle,noodle,noodle chicken,0
prosciutto,prosciutto,prosciutto stuffed,0
bone,bone,bone wing,0
garden,garden,garden salad,0
egg,egg,egg salad,0
breakfast,breakfast,breakfast burger,0
parsley,parsley,parsley butter,0
roasted,roasted,roasted beet,0
bowl,bowl,bowl brown,0
mousse,mousse,mousse cake,0
chocolate,chocolate,chocolate coconut,0
sesame,sesame,sesame chicken,0
italian,italian,italian doughnut,0
sausage,sausage,sausage egg,0
layered,layered,layered cake,0
salmon,salmon,salmon egg,0
chicken,chicken,chicken mushroom,0
pork,pork,pork chicken,0
served,served,served chocolate,0
butter,butter,butter breadstick,0
bbq,bbq,bbq bacon,0
meat,meat,meat combo,0
combination,combination,combination plate,0
shredded,shredded,shredded beef,0
greek,greek,greek fry,0
fried,fried,fried parmesan,0
mousse,mousse,mousse pastry,0
chocolate,chocolate,chocolate vanilla,0
cereal,cereal,cereal milk,0
sushi,sushi,sushi combo,0
egg,egg,egg sausage,0
grilled,grilled,grilled corn,0
chicken,chicken,chicken lunch,0
cheese,cheese,cheese onion,0
avocado,avocado,avocado hummu,0
rib,rib,rib hash,0
belly,belly,belly bao,0
salmon,salmon,salmon avocado,0
cake,cake,cake donut,0
pork,pork,pork nacho,0
scallop,scallop,scallop roll,0
banana,banana,banana nut,0
dessert,dessert,dessert treat,0
fried,fried,fried cheese,0
crunch,crunch,crunch bone,0
house,house,house pastum,0
white,white,white fish,0
chocolate,chocolate,chocolate fondue,0
banana,banana,banana pudding,0
tuna,tuna,tuna tataki,0
fish,fish,fish fry,0
cheese,cheese,cheese crispy,0
teriyaki,teriyaki,teriyaki plate,0
combo,combo,combo plate,0
spicy,spicy,spicy garlic,0
strip,strip,strip steak,0
chocolate,chocolate,chocolate caramel,0
parmesan,parmesan,parmesan fry,0
salmon,salmon,salmon bowl,0
raman,raman,raman noodle,0
sausage,sausage,sausage pepper,0
walnut,walnut,walnut pie,0
coconut,coconut,coconut cake,0
pickled,pickled,pickled onion,0
blueberry,blueberry,blueberry cake,0
butter,butter,butter chocolate,0
smoked,smoked,smoked chicken,0
double,double,double crunch,0
peanut,peanut,peanut sauce,0
special,special,special sauce,0
crispy,crispy,crispy potato,0
rigatoni,rigatoni,rigatoni pastum,0
fresh,fresh,fresh baked,0
pork,pork,pork beef,0
bruschettum,bruschettum,bruschettum board,0
chocolate,chocolate,chocolate souffle,0
glazed,glazed,glazed salmon,0
meatball,meatball,meatball appetizer,0
soft,soft,soft traditional,0
steak,steak,steak fry,0
pumpkin,pumpkin,pumpkin pie,0
chive,chive,chive dumpling,0
traditional,traditional,traditional italian,0
onion,onion,onion cilantro,0
salmon,salmon,salmon nigiri,0
fresh,fresh,fresh fry,0
craftkitchen,craftkitchen,craftkitchen chocolate,0
doughnut,doughnut,doughnut dusted,0
sugar,sugar,sugar served,0
braised,braised,braised lamb,0
garlic,garlic,garlic tuna,0
treat,treat,treat layered,0
potato,potato,potato chip,0
matcha,matcha,matcha cake,0
pastum,pastum,pastum sauce,0
rice,rice,rice ball,0
pecan,pecan,pecan pie,0
served,served,served spaghetti,0
sliced,sliced,sliced pork,0
fried,fried,fried banana,0
italian,italian,italian classic,0
blood,blood,blood orange,0
chicken,chicken,chicken spicy,0
chocolate,chocolate,chocolate cheesecake,0
salmon,salmon,salmon rice,0
sandwich,sandwich,sandwich pound,0
tuna,tuna,tuna salad,0
baked,baked,baked blend,0
