photo_id,business_id,caption,label,length,stars
03l5TnJLC-MRFiMbcxBUqQ,bcTeQtSdHW5pyLjXz05QEg,Neopolitan Cake !,food,17,3.5
03LeCM9UhigdsVSNIbmcoQ,07AZL5XenCQ_-op_onKLdw,Me and the Wife..,food,17,4.0
0_3lED2pwQP5H9Vv1zj3eQ,VzxdHqnu_OLx8md6vpkyEA,Oven baked subs,food,15,4.5
03phLutxOdXhyu0cBoNG7w,YqSfqgdWtCv3XimQ3r4I6w,"Ceviche - black garlic, yucca, black beans, cilantro, cippolini onions (crisp), avocado, tomato, guaillo chile, New Zealand mild fish",food,133,4.0
03vC_DjDarmOzKqTn3oNQQ,h19bR52xQ9fQWGMTSbjnbw,Mix grill,food,9,4.5
03wKebnYFG00WNZl70nVEw,ebL8hN0iieaa3rClnDfLlw,Original portion size in 2017.  Pad Thai with chicken.,food,54,3.5
03xMSlQ5wBqPPtqAaZLxfA,BxKxFHXG4B2h1MXK8ebHZQ,Octopus! Always good,food,20,4.5
040VssZlSrjkQIRoWl6okw,d4qwVw4PcN-_2mK2o1Ro1g,Wet chicken burrito. Very mild sauce (not HOT). Very caliente and delicious on the taste buds.,food,94,3.5
0429iScywPq3fHJwqV_bJA,7mGZrCzGGjS95SdRtEaGcQ,Double scoop peanut butter chip and lavender with toasted marshmallow,food,69,4.5
04BtzBfMGkuwboyah05WBQ,N0CoaG3cBrTGm2ecLYSzqA,Crispy Duck with Panang and Kai Koowah.,food,39,4.5
-04fvUxG0taAAASsUZrsuw,HQcel0uvg7N7KfhHJChfSQ,"White Vegas roll, rainbow roll, xxx1 roll",food,41,3.5
04HS6s6ctuW-wdE2XfNajg,fE9SP84G6TZrv36FLbCy7w,Seared Duck,food,11,3.5
04mplD8XNUCiFtDC4bVFAQ,wWuGa3OOQJro_XGe-GKBXA,O-toro (premium fatty tuna),food,27,4.5
04Rf1P9xqr9AqXgn6EC_BQ,qqs7LP4TXAoOrSlaKRfz3A,chicken curry,food,13,4.5
04SmHE-GRRcwfZq63omAzQ,_4qndNOqaB-dDIPCI2MkCg,Thai fried rice chicken!!,food,25,4.0
04_u-ex0FddogdW5fE1VHA,R1jJQi2yR44D_2ileqr8kA,Tamales,food,7,4.5
04Zcb83qcXtQCya_WNe6nA,B5JCODx4728Ce2Qca1NFHw,Uni bomb,food,8,4.0
04ZVG5M2C2bBuzomywOeoA,npWIa3dIPEV1MTaZNq6AUA,pork chop with sweet potato fries,food,33,4.0
051JrOuRdMAaozwZ9v5zZw,POJL-N7Smw1UZMP_xldFwg,Trecce,food,6,4.0
053JQh7XdJNCFTCMUHWgDQ,XCUXCTHvY8QVR4xU0DF__w,Noodle pull of minced pork with noodles in Peking sauce,food,55,3.5
05A8Dlpj5EjIzwFCE9Ks1Q,uBdYMY6a6A7FyxzTSwOiDg,Short Rib Benedict from local.livin on IG,food,41,4.0
05c6Xl_OrK51YQAGXNsvZA,1ZZsWrZQAyWVxTxadE0N5w,Beaumont's 1/9/19:  Chicken-Fried Ribs,food,38,3.5
05jyNIYbrwhwtxtp21dimg,Nm6j_BNOFLiO_wRjPF9GBg,lamb madras,food,11,3.5
05Rme0D-DGeRTvV-1X0s8Q,yU3p0tEBtGuZLTcsBHw9uQ,Egg Benny with pulled pork and shiitake mushrooms - shot of mango smoothie and fresh fruits.,food,92,4.5
05S0NVVt6LDQaaC86Ajxsg,mU3vlAVzTxgmZUu6F4XixA,Black Truffle Ramen,food,19,4.0
05sD91qxMLtU3VVzijrtRw,4YFV-Z4Yy_MCGS54kBgWPg,Our meal with our bountiful sides.  Can't say more about how amazing this meal was.,food,83,4.0
06AOor8bSv6nm_DtIY4WAQ,ataRn8s6owt3SObGajp4KQ,Pepperoni Pinwheel,food,18,3.5
06C1SYI1_3zvCOBDUleS6A,HPLB1Tr8ZB5UkD-2umKPdA,Pekin duck and pork belly buns,food,30,4.0
06DBD23MWasF1Wt8ATUewg,Jt28TYWanzKrJYYr0Tf1MQ,Chicken taquitos,food,16,3.5
06EpiLBNpdw_PAyQ9_-93g,a_HejZvHvG2IM7ri1CnlYA,Seafood Past,food,12,3.5
06EThkPvwq48mFV8gUzr6Q,m65oi2C7b1CJM7DaXbFi-g,Bohemian Raspberry,food,18,3.5
06_fuW7ltSQjyPEqSoIxQw,cUpdeZJawIwOl6G21z7CzA,"""Meat and More Meat Sandwich"" @ Giordano's - 1/15/19",food,52,3.5
06H0FylB0RgUOX_JUPxKpg,LiXiOz911tWdsul8QnFdTw,fresh mussels with spicy nduja,food,30,4.5
06hx_yZgNBoA4NNSlNqnSA,Klx3owEB3vHv0f-VVBzRpw,Injectable Donut Holes,food,22,3.5
06kDpuO3zy1eAK3OBZTonA,yp2nRId4v-bDtrYl5A3F-g,Pineapple Fried Rice,food,20,4.5
06OHZFSxEx_mOIXO9q-ovg,Axw7dH_vFdUwlLEEkW_x2Q,D'Oreo,food,6,3.0
06u4cnk5ws83FmV218HE9A,JMiaNitMzMbJm6Kh0RbT5A,Devil's food cake,food,17,4.0
06W8PdGrVvsQmC4N4pZjCA,GWnhc3MO4XjsKIpyExV--Q,Rainbow Roll $7.95,food,18,4.0
06YGBhPjn0A5niMZYNGWDw,gOOfBSBZlffCkQ7dr7cpdw,"Sunny side eggs & yuca hash - crispy porchetta & yuca pearl onion escabeche, Chica hot sauce",food,92,4.5
072x0zbqNBDYubOAlqH64Q,XZbuPXdyA0ZtTu3AzqtQhg,Mango   Spice Crusted Tuna Steak - Steamed Halibut* - Chile Rubbed Carrots,food,74,4.0
077p2c-KSGh_dXMmCjVOkw,5Lcit9Zt6TF9bmKoFMhF0g,Beef Noodle Soup - I was surprised that this soup had Vietnamese flavors.  Very good.,food,85,4.0
077_zs_ZuopFvOrg8TTWjw,GI-CAiZ_Gg3h21PwrANB4Q,Whipped Cream for the Signature Warm Butter Cake,food,48,4.5
07a5oh0X5FHdi1Oaie3Xig,6i_EXDHikHWhhDipzMt8rw,"Seared salmon belly sushi, fatty tuna and sea urchin sushi, salmon roe and quail egg sushi",food,90,3.5
07A5uSwHuVzZo_2gGKfHHg,J4CATH00YZrq8Bne2S4_cw,Wagyu Beef Sashimi and Pork Belly appetizers yummy,food,50,4.0
07AMbD8wNi5Wr9bFqueytQ,l_GV0hgEoTUf70uJVT0_hg,Easter Sunday meal tomorrow!,food,28,4.0
07D2tFemfdudLDq8yJ3GEg,sZIVzaaEBp_HiYutZ2lWag,08/29/18 Purple Potato Catering: Red Velvet Chocolate Chip Monster Cookie (interior),food,84,4.5
07DRd_QRluWGSSUxCZ1dxg,7sb2FYLS2sejZKxRYF9mtg,"Double Dragon Roll, Kiss Of Fire, California Roll, Bacon and Lobster, salmon, crab meat, scallop",food,96,4.5
07Hdx7fmO1It66XHqiPmhQ,kLQjicvsasq1wX2jjxboSg,Lychee and pistachio ($6.25 two scoops),food,39,4.5
07HSaEMquBQPae1vh91oLA,zra20XPGVL9P3i5hMoKjig,Duck and Mole,food,13,4.5
07jr9I1CqlrojP1IKDSXaw,5hOhYW3728u9kT4lZ-vvig,Eggplant nigiri,food,15,3.5
07r8ORRUEbDyQcYjhf8EeQ,WNQbi94089WL3UcOj5OQ8w,Vanilla with creamsicle Plus chocolate sprinkles and almonds,food,60,4.5
07sGxuE4GWZWaWYLOqxkTQ,LgbPSXm9h31Da-qJOF12ZQ,Garlic Parmesan Fries,food,21,4.0
07tJm8AYmOntV3vcXBRKyA,ZAuAwz1ijuydn5yL3q3rzA,Naan bread,food,10,4.5
07Wu97oVS6XpnORpx1AXvQ,t5QPwHMuPQn_kN809Ir6TQ,Pastry display.,food,15,4.5
07w_vuiEz0KvKl_EOgugUA,RESDUcs7fIiihp38-d6_6g,Amazing selection and unlimited mimosa option.,food,46,4.0
07xmebrFmpWBQ2TYZowjxg,aXRrMXXoAN7lawHICgmsxw,Fries with the sauce,food,20,4.5
080HSPBmwqt7bkMKJT294g,nYzCr8fcJ2ci4aiB1-hB6w,A perfectly tasty meatless sandwich,food,35,4.0
-082fk22b2Bp8sReYWVpyQ,33Tr0eRki1Yamzleu4GMdw,05/01/18 Rosallie Le French Cafe: Cinnamon Roll,food,47,4.5
089VKFNMjwk7a9km0Hd8gg,z8H4Mdzl4jS9pYswj6Jf9w,"Tuscan spiced apple tart  almond frangipane, ginger gelato, caramelized white chocolate",food,87,3.5
08eJSFvTCSBDiOPigFdinQ,6Vyp-9i1jzwK_bvisuPJpQ,Chowder fries and lobster roll,food,30,3.5
08FJb6ISkzzK2Dud1GSrAw,SeNOJ2zYHziptxLuiRINLg,Shrimp stuffed squid 15/10. Sooooo good!,food,40,4.0
08kt8W8uISDLoA4IiGnajA,8aykSzSqGPYUpMQbO2DPdA,Chef's special,food,14,3.5
08nBi6jColn3JZannsS4rQ,52yWGkwnrQXIjvuMjYxsiA,BBQ Chicken Sandwich,food,20,5.0
08NgPhixDnpcz6RkcdbpxQ,LWgaRojEN8a-V6yxORo7yQ,Customized bowls,food,16,4.5
_08oJ8zGdDcnPqh0r4_Suw,pB9ZZGJaApSw2PMcOTc8og,Sake (salmon),food,13,4.0
08wCCZfmJoZshxpgEJhHcA,Yv4P4qUwd7F-qQ4Y4eD1JQ,Torched Mackerel ($10),food,22,3.5
08WkK8WgT28D2UEshhObvA,CRVtzesMuwHK-phmS_ojaA,The Greek Salad,food,15,4.0
08WmgMn4gSBGR-t7A20MOQ,U0UnBjz9DugW2qRZputKBg,Custom Cake,food,11,4.0
08YEHYMsHYpTQN1-nl982A,0ctFHE8o7A0_oDnaW7WrsA,Smoke House Burger,food,18,4.0
_08YsAFcPKjLcAoWB-CiKg,qjTPOOiUMZEhOBshHAXpQg,Baked Eggs & Spinach - Sunday Brunch!,food,37,3.5
094jWUHY5ZnNnYh6fiO_1g,BjH8Xepc10i6OhCDQdX6og,Grilled oysters and some egg thing,food,34,3.5
09761aslbhoKfDOzQ8g0LQ,BrGs6OGqqtKqaLuxoMySBg,Original pancakes $13.55,food,24,4.0
09aBgythRd3hTKrNo9zcdQ,6nbPXEjmBnDtsgM_YNwGjw,Loco Moco Katsu Chicken version,food,31,4.5
09ccc-WxYmKRqJGRR-IfJQ,OETh78qcgDltvHULowwhJg,Shishito peppers,food,16,4.0
09IBYP8kA8h-iBcCyldMuA,uWECX6-Uq9n8v5ipk9R29A,Blackened Shrimp Poboy on New Orleans French Bread! Great sandwich!  Wish the shrimp were a little larger for the money though.,food,127,4.0
09OQc4vREP1Ik_JNOVGipg,7v91woy8IpLrqXsRvxj_vw,Dixi Chicks 'n' Waffles,food,23,3.5
0_9SMJS9wNg8QevgHztT5A,cefRDEK5O3t_iUuwnmL27Q,This Brisket Hash I would continue to go back for!,food,50,3.5
09vgc4VZdacHEgJRGgbSzw,EwGXv_d6zAgkVPuXRI2A8A,chorizo hash and eggs. will be back for more.,food,45,3.5
09WxHQPfxJn3ruMxXOX4WQ,SJbXs2aVMhFawgjCcbH8aQ,Feta berry salad,food,16,4.5
09_zJi9JE--k2E1BM6rhWA,ipFobdM6X_4SNMA9ZBfdAQ,Mediterranean Chicken Shawarma,food,30,4.0
0A5TIKmNCM8bykijyhEAnA,nAnpTnodDchSl9H0f6R2pw,Mix grill platter,food,17,4.0
0AdvXmaJ483BhPbH6G-D3w,inXu0sfSxf7PF4GvWTfbEg,Coffee and Matcha,food,17,5.0
0aELo38caAaKSdLKN9txWA,A8H1dW49CEXj6vWKc2G-3g,My wife had the Gnocche Benedict,food,32,4.0
0aENmNthRzXz19KpoOE9rg,jScBTQtdAt-8RshaiBEHgw,Umami Burger,food,12,4.5
0Af3DgtnxKy1PAgVDqD0zQ,iuya9nmV6ievrTNSOdEywg,Chicken & Waffle,food,16,3.5
0aIVObXNTg3TKA3EQW1hGg,eNFubUPJR7yIQah-NxZN_g,Complimentary Fruit Platter during Dinner,food,41,3.0
0AKFHFsLgXpXP0wsWlx_eA,SGbQkUmgFHSWL6TLraMxrA,Russian Babka,food,13,4.5
0aLQw1wx-7rGbvEUyByD9w,k1q9f7aJ2TsoSbeA8Qm1aA,I invited my friends to try Lao Sze Chuan cuisine in Vegas. We love all the dishes we got that evening.I went back again nextday,food,128,3.0
0AMZU_BeTH-p_JOqPsD_Vg,iAxsnFs3qq0Qx1EJ1S9SoQ,Curry Fries,food,11,4.0
0aONqb0n1NWlVBpCGM2H5g,go_uJsNgk2WCRtl5m-v72g,Gluten free,food,11,3.0
0aPBOVb7HCemdlUTKBKP-A,b-RSw4G3HJvGfwvRLzuLPw,Carrot soup,food,11,4.0
0aRGiN37yeXYD7VIpWTpRQ,BmV0ZAdepydSujYJH5_EQw,"House made Mont Blanc Chestnut Cake with Matcha mousse, chestnut cream, almond cake & short crust pastry.",food,105,4.0
0aSmxmotj4t5-GGl-QYXmQ,XYIPXJ9parr9FtvvcGI1SA,LanZhou Hand-Pulled Noodles in Soup (Thin),food,42,4.0
0aU1y9V84hPn1jxc5ubh-Q,CNPnbJlMmCx08geOvDmH7A,Blu's Tiramisu,food,14,4.0
0AuP1rwvqbblOAWrmZnUIQ,8jHLEXfoy3Q9TdvJYvtWvg,Salad,food,5,3.0
0aVClt9IAIi5-W5x13EsiA,xDY01sZnL7FeqEXnYC_BRA,Chicken Alfredo Pizza,food,21,3.5
0aXvVgrLIc3016xosjZatg,7wHLFohwCw8l6WS-feLjeg,Tuna Tartare and Waffle Fries...,food,32,4.5
0B37TSXs6gvM-DXqnRwS4w,UxWH8zRYIBgs6Q2oykvRdw,Frog Legs,food,9,3.5
0b5gRedYxsSQ0mMAnhXiXQ,DESv2ys6SjBKA4SyDtJvxw,12/29/17,food,8,4.5
0B8DPtR9ovt9MwjxAHEvAQ,wpQsmMvdhefqIlxvRt_Jbg,Torched salmon sushi,food,20,3.0
0bbgaINOA-vOAKcHoqW5Vg,-Lgj3gdQZiVngAEc1yALzw,Strawberry & Basil White chocolate mousse / butter basil sponge cake / strawberry salsa / almonds / coulis,food,106,4.0
0Bd_HHBS0bZlEpYImQmJ6A,K7o9ZercitOI3BzqkBwGCA,"The Can Can is on the right, the Red Carpet is on the left",food,58,4.5
0BEN2-UFrvbyy26GIOyhlA,glkEaoxbewiSMBiXs945JA,Edge of Margherita pizza,food,24,3.5
0BlMTHo_pTRi6vSXCzyKzQ,VLDFjeqpUgWhnVuB_8GuEg,Organic Tuscan Kale Salad,food,25,4.0
0BNS6TsQSgs1Tww6hdn3sA,4oC1z2SDrpraoZzRIQ-WsA,McDonald's All Day Breakfast Menu Items,food,39,2.0
0Bq03Ct1vUAdFR7Eklo63g,-cI4X2gFp64D0xzy6NmW_g,Mixes plate,food,11,4.0
0BRCgIdAxyFH4iyQ7_4LWw,_eDVVS8wwXcdllaW6nfLyg,"Inside the ""Escargotyaki"" Instagram:@culturegrub702",food,51,4.5
0bT7TAh3ye_a6t76gQUVfw,wJft0Y8B9plFJcfibQl1wg,"Gelato, Nutella crepe, pastries",food,31,3.5
0bUFjrNl4w1V9Z2M1TUTVQ,SBNucLXc9dQP6VBj__XOmQ,Shanghai Shrimp + Scallops,food,26,4.0
0Bv_0kdrlClm7z4WN6zHqg,mbJ_Z3nmFfwHpmpQ26tzfg,Macarons ($26.00 for 12),food,24,4.0
0BXNVnBABqXm9LIeHC58fQ,L2p0vO3fsS2LC6hhQo3CzA,Chick and chop cane With hash browns and toasts with home made strawberry jam. And waffle with real maple syrup. Delicious !!,food,125,4.0
0byHKoLLpSAKQgQ63XSPSg,rbcfYmJtqwIkk17IeOI5Kw,"03/24/18: Scallops Meuniere - Cauliflower Fondant, Broccoli Spigarello, Thompson Raisins, Toasted Pine Nuts, Fried Capers, Mint, Butter",food,135,4.0
0BZXcL3rSoii_txkwi-iKg,X1S8u_cFfBpdWfvQBo_BqA,Mediterranean Pickles,food,21,4.5
0C3r0cluAQ-CGloa_Ckzww,6n_MDeYxU1ihB38be9TkVA,Squid.,food,6,4.0
0C5joasGfdh_8D20iR7eEA,yNp0ybYo07JQWlmdz1K4Cw,Cavatelli and meatballs.,food,24,3.5
0c5qHcgoRqGAIK3IDQERHw,1Z5S_Lkcl6vA3ZvrAG91TA,Tostones al Ajillo - Fried Plantains with Garlic Sauce,food,54,4.5
0c6u0hIWc8xJxcQ-ouVFww,Wg4jlAgOUB51aX1c3ex9GQ,Part 2 of combo - bbq eel,food,25,4.0
0C79qlLp_ALaXk9s6Ax3JA,-wCtRhzWJ40Z4F8mmg7kWg,Corn risotto n scallops was a bomb. The best risotto ever and scallops were very fresh n perfectly cooked.,food,106,4.0
0C8hlnLk4GWKF8CwVMxh2Q,JPfi__QJAaRzmfh5aOyFEw,"Left: Beef pancakes , Right: steamed dumplings",food,46,4.5
0Cd4-bMud-B21XK0ml91vA,nUpz0YiBsOK7ff9k3vUJ3A,Best cake ever. Italian Birthday Cake,food,37,4.0
0cibBdXJslMqVo8bKvuvNQ,_w5hBpkjHs5_Hv3pLeHtIw,"Pintxo of chorizos mini chorizo, garlic mashed potatoes",food,55,4.0
0cJ7VBx4BSQXW20N-qjhcw,N0CoaG3cBrTGm2ecLYSzqA,KHA NOM JEAN NAM NGYOW [Rice Vermicelli Curry),food,46,4.5
0CjaOEyV0RLMKZLAcxtnqQ,02EYqwh47uVxOaOKrnx8SQ,"5104 E McDowell Rd Phoenix, AZ 85008
(602) 244-8181
indiandelhipalace.com
Indian Restaurant",food,91,3.5
0CkPVxBXWQ1ABmwd0WR0MQ,VasgFCcYS8JUIdqb5KsPAQ,Crunchy Shrimp Roll (made with Shrimp Tempura),food,46,4.0
0c-l6dK89Q88U5P_DKlKGw,gCbS0X8w7vZ9CLWvMNXocA,Fresh berries marinated in blackcurrant liquor,food,46,4.0
-0cLSwqBZH9tGCbAf9D44w,Hv3iuAYsoF2FjH0ND9rIKg,Raspberry Mango single layer cake. Beautiful! The icing/writing did bleed onto the ribbon.,food,90,4.0
-0cNQzbikxIKtESdR_cyyA,LRyJquzweF4oMgJhkvwL5Q,Making the perfect latte.,food,25,4.5
-0C_ozcnbg0jzDWUnJkMMg,Kn8nZztS41bKfSOHedqX3g,Fresh and yummy!,food,16,4.5
0CQA5oa9XPuP6B2qYwI8Rw,fROpvJ_V9q6dAXbi4VwtoA,The generous pour event!,food,24,4.0
0CqORKMTdjebsVUN4OLROg,P7pxQFqr7yBKMMI2J51udw,Meatball Grinder.,food,17,4.0
0CvI1MesCLBMhen37piaPg,kRgAf6j2y1eR0wOFdzFAuw,Firefly fries,food,13,4.5
0cY12IJ0Bod2F90PEOqbXg,Q7PWryGwFr52WMmfzqCBhA,A TABLE FULL OF FOOD!,food,21,3.0
0d2NLurNF6-gpdXmtO73yw,iuya9nmV6ievrTNSOdEywg,Smart Heart Breakfast with Atlantic Smoked Salmon,food,49,3.5
0d5Al4E8PfghOjovoa9HOA,f-cg_onJ_v-RGdCx75EZMA,Thyme roasted milk fed veal chop & homemade gnocchi,food,51,4.5
0d9RXYm_ogeI_ip1mptJeA,eoHdUeQDNgQ6WYEnP2aiRw,And this is what we call a chocolate piece of Heaven !!!,food,56,3.0
0DCEax_DZL_Ou8GGvHC59Q,3BCsAgo_1i4xMuTyLKMLRQ,S'motherload ...,food,16,4.5
0dc-gocAubRJMkfHROFHag,nTMZSvPMSIofI5RLARFIaA,"Torched red snapper, torched unagi, torched shrimp",food,50,4.0
0ddKe2E--sxpbApR1x5uOg,1Ok2EXqdH-R0sy-_tyOrMg,Osso Bucco,food,10,3.5
0dehGOWqBoMBAER6TOjrug,e3PBfbtXUjMziX6XGsOMoA,Takoyaki,food,8,4.5
0deNDyYj0MrLHPs6YjDx2A,YtfQQHdcQ_bGl2V0Agxw1A,Papad (papdum). Chef did some amazing work.,food,43,4.0
0dEWN07WhuxvHjT-uY3Opw,uAAWlLdsoUf872F1FKiX1A,Egg waffle with oolong tea and London fog ice cream,food,51,4.0
0dFnWXUvmL7mWr37TT66bQ,uW6UHfONAmm8QttPkbMewQ,Chicken Katsu and Kalua Pig mixed plate,food,39,4.0
0dGCQWywnbG4lpeY17PE8g,igHYkXZMLAc9UdV5VnR_AA,Asparagus and fried egg,food,23,4.5
0dgrMgGbSvgPY1vdz1mlig,OBvPj3NiXxt47fjsQ0edsQ,Tenderloin Sandwich,food,19,3.0
0DL-qdTe-S_twqcTovzFtQ,EK38MXW_OsC5CZVvIZodIw,Mini Donuts,food,11,3.5
0DLWzbR2aImVT3kCEFgTgA,ARH8diyhBtiSgRR4_7oxmg,Eggs Benedict.,food,14,3.5
_0dQ7Q5I2IJqDLS77V_Z6Q,oJSa5HCiZXKLXxggQmecEQ,Nonna's lasagne,food,15,4.0
0DQuBeegjTWkISm3OTM4ww,w12x7UBSSRsdbp3ZqguG3Q,"Savor The Palm's tender filet mignon together with our Fresh Asparagus Fritti and Green Beans with pancetta, pepper flakes and pine nuts",food,136,4.0
0DR6yDlwXi-tbIKWXNCCtQ,vkohM83m5OdndWrKDjoxJg,Bubble Waffle (Matcha and Peanut flavours) with Black Sesame Ice Cream,food,70,3.5
0dSFN3muzCRssafc63QSQA,0ldxjei8v4q95fApIei3Lg,Join Us For Happy Hour! Mon - Fri: 3-7PM and Daily: 9PM - Close,food,63,4.0
0dU7EtoTQhVEN5j8G9Ny0Q,7fbR8yaEV_aAdOaaE4-0FA,Black pepper crab,food,17,3.5
0dWsXGhcY_7vUBKotPkxzg,HhVmDybpU7L50Kb5A0jXTg,The Original Big Burger w/ a Caesar salad on the side.,food,54,3.5
0dxCP75dwJozDmhlVKeVsw,t_1myTZfYeEQ07Jr8JEF5Q,"Chocolate /foie gras orange topping the ""cake""",food,46,4.0
0DyegxWN0pdIaBjEV6wmZQ,CVKOPzBVOj3_apFUmZ9ZWw,Shrimp and chips on the left and fish and chips with the best curry mango sauce,food,79,4.0
0dytDeFAlh3BXlIzWS6vTw,OETh78qcgDltvHULowwhJg,Third (Main) Course - Land & Sea Beef Wellington (with lobster tail),food,68,4.0
0E-28i7aAbf_xntFy3zcXQ,7sb2FYLS2sejZKxRYF9mtg,Bulgogi Nachos...very sweet...I wouldn't order it again.,food,56,4.5
0e3TYRCjbTaJTYWxZELstw,rqLksDzegxNXMWwZk3eZnQ,Aloo Gpbi Subzi,food,15,4.0
0e5BjGy5Fg9CuyQQqxeBzQ,VgWvHMs5TJ2lr0ec2DaMtQ,"Korean superfood ""Kimchi"" Please come try our traditional napa cabbage kimchi, direct from Grandma's recipe book.",food,113,4.5
0E5g3Le-0NR5BiU6yazaDg,r_BrIgzYcwo1NAuG9dLbpg,The spread,food,10,4.5
0e95mE6Mx4-Y-wnI7kIGcA,fT6Uwl6abRQfiNgxre_qbg,Crunchy roll.,food,13,4.0
0ebffoZaMl1hZs9IGJipfQ,YNjW13ls0enqM2Lep2cCsQ,Steamed Chicken,food,15,4.0
0EByGFfvd1DKQffWdiuRqg,anrLWKAKm3hFLcJpbhEDUg,Big Brunch Burger,food,17,2.5
0ECdz2U21n1hJcHh9eOgcg,82mWTnfbGDE1jJ2NDMxfNw,Mediterranean Antipasto Platter,food,31,4.0
0eEeOd0s86m4Fee_OTLVZA,uFTcyheegHAdRobLf_4Siw,Pot Belly,food,9,3.5
0eIo0nv-hUzrE7NcExYuKw,G24p1oGGfY3t-m8Z2lPCaQ,Kamayan feast,food,13,4.0
-0eje89y-_EACmitfJxBmQ,LPCFfrQow0kl7EABuM7VDA,Combo for 2(Sushi + Rolls),food,26,3.5
0el0eIBgfX5zO8kcCsaBHQ,Aqy2wQmWH1YkiCaQeqG1jg,"Kenzie & Greg, cheese & charcuterie, jumbo lump crab cake and Moscow Mules. Great spread and everything is on both the dinner and hh menus!",food,139,3.5
0elcfr2i9HoQpfufy7FZZg,S-oLPRdhlyL5HAknBKTUcQ,YUM.,food,4,4.5
0eP2F01wG0xYm1t1D9DfaA,W7gGZgcgzv-LFvk-s5csXg,Butterfinger + Samoa,food,20,4.0
0_eSe2rh95vi0T0Jc0KZ7w,3RlylOY452bA8rwliPUeUQ,Beef Tartar with Pear,food,21,3.0
